"Attempt to add an invalid object","ልክ ያልሆነ ነገር የማከል ሙከራ"
"Attribute '%s' used in configurable products.","ሊዋቀሩ የሚችሉ ምርቶች ውስጥ የሚያገለግል አይነታ «%s»።"
"Attribute set with the ""%s"" name already exists","«%s» ስም ያለው የአይነታ ስብስብ አስቀድሞ አለ።"
"Attribute used in configurable products.","ሊዋቀሩ የሚችሉ ምርቶች ውስጥ የሚያገለግሉ አይነታዎች።"
"Attribute with the same code","ተመሳሳይ ኮድ ያለው አይነታ"
"Data integrity: No header row found for attribute","የውሂብ ምሉእነት፦ ለአይነታው የርዕስ ረድፍ አልተገኘም"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","ነባሪ የምርት ዝርዝር መደርደሪያ በሚገኘው የምርት ዝርዝር መደርደሪያ ላይ የለም"
"Default option value is not defined","ነባሪ የአማራጭ እሴት አልተገለጸም"
"EAV types and attributes","EAV አይነቶች እና አይነታዎች"
"Entity collection expected","የአካል ስብስብ ይጠበቃል"
"Entity collections expected","የአካል ስብስቦች ይጠበቃሉ"
"Entity is not initialized","አካል አልጀመረም"
"Failed to load node %s from config.","ዓጽቅ %s ከውቅር ለመጫን አልተሳካም።"
"Frontend label is not defined","የተጠቃሚ በይነገጽ መለያ ስም አልተገለጸም"
"Invalid alias, already exists in joined attributes","ልክ ያልሆነ ስም፣ በተያያዥ አይነታዎች ውስጥ አስቀድሞ አለ"
"Invalid attribute name: %s","ልክ ያልሆነ የአይነታ ስም፦ %s"
"Invalid attribute requested: %s","ልክ ያልሆነ አይነታ ተጠይቋል፦ %s"
"Invalid attribute type","ልክ ያልሆነ የአይነታ አይነት"
"Invalid character encountered in increment ID: %s","በተከታታይ በሚጨምር መታወቂያ ልክ ያልሆነ ቁምፊ ተከስቷል፦ %s"
"Invalid data object key","ልክ ያልሆነ የውሂብ ነገር ቁልፍ"
"Invalid entity specified","ልክ ያልሆነ አካል ተጠቅሷል"
"Invalid entity supplied","ልክ ያልሆነ አካል ቀርቧል"
"Invalid entity supplied: %s","ልክ ያልሆነ አካል ቀርቧል፦ %s"
"Invalid entity type","ልክ ያልሆነ የአካል አይነት"
"Invalid entity_id, skipping the record","ልክ ያልሆነ entity_id፣ መዝገቡን በመዝለል ላይ"
"Invalid entity_type specified: %s","ልክ ያልሆነ entity_type ተጠቅሷል፦ %s"
"Invalid foreign key","ልክ ያልሆነ የውጪ ቁልፍ"
"Invalid joined fields","ልክ ያልሆኑ የተያያዙ መስኮች"
"Invalid store specified","ልክ ያልሆነ ሱቅ ተጠቅሷል"
"Joined field or attribute expression with this alias is already declared","በዚህ ስም ያለ ተያያዥ መስክ ወይም የአይነታ መግለጫ አስቀድሞ ተገልጿል"
"Joined field with this alias (%s) is already declared","በዚህ ስም (%s) ያለ ተያያዥ መስክ አስቀድሞ ተገልጿል"
"Joined field with this alias is already declared","በዚህ ስም ያለ ተያያዥ መስክ አስቀድሞ ተገልጿል"
"Loaded %d records","የተጫኑ %d መዝገቦች"
"No","አይ"
"No options found in config node %s","በውቅር ዓፅቅ %s ውስጥ አማራጮች አልተገኙም"
"Problem loading a record, aborting. Error: %s","መዝገቡን የመጫን ችግር፣ በማቋረጥ ላይ። ስህተት፦ %s"
"Problem loading the collection, aborting. Error: %s","ስብስቡን የመጫን ችግር፣ በማቋረጥ ላይ። ስህተት፦ %s"
"Problem saving a record, aborting. Error: ","መዝገቡን የመጫን ችግር፣ በማቋረጥ ላይ። ስህተት፦"
"Problem saving the collection, aborting. Error: %s","ስብስቡን የማስቀመጥ ችግር፣ በማቋረጥ ላይ። ስህተት፦ %s"
"Saved ","ተቀምጧል"
"Scope must not be changed, because the attribute is used in configurable products.","አይነታው ሊዋቀሩ በሚችሉ ምርቶች ውስጥ እያገለገለ ስለሆነ ሽፋን መለወጥ የለበትም።"
"The attribute code '%s' is reserved by system. Please, try another attribute code.","የአይነታ ኮድ «%s» በስርዓት ተይዟል። እባክዎ፣ ሌላ የአይነታ ኮድ ይሞክሩ።"
"Unknown parameter","የማይታወቅ ግቤት"
"Valid store_id is expected!","ልክ የሆነ የሱቅ-መታወቂያ ይጠበቃል!"
"Value of attribute ""%s"" must be unique","የ«%s» አይነታ እሴት ልዩ መሆን አለበት"
"Wrong attribute ID","የተሳሳተ የአይነታ መታወቂያ"
"Wrong attribute group ID","የተሳሳተ የአይነታ ቡድን መታወቂያ"
"Wrong attribute set ID","የተሳሳተ የአይነታ ስብስብ መታወቂያ"
"Wrong entity ID","የተሳሳተ የአካል መታወቂያ"
"Yes","አዎ"
