"Actions","ተግባራት"
"Add Answer","መልስ አክል"
"Add New Answer","አዲስ መልስ አክል"
"Add New Poll","አዲስ የድምጽ ምርጫ አክል"
"Answer Title","የመልስ ርዕስ"
"Answer Title:","የመልስ ርዕስ፦"
"Answer was successfully saved","መልስ በተሳካ ሁኔታ ተቀምጧል"
"Answer with the same title in this poll","በዚህ የምርጫ ድምጽ ውስጥ ተመሳሳይ ርዕስ ያለው መልስ አለ"
"Are you sure you want to delete it?","እርግጠኛ ነዎት ይህን ሊሰርዙት ይፈልጋሉ?"
"Assigned Answers","የተመደቡ መልሶች"
"Closed","ተዘግቷል"
"Community Poll","የማህበረሰብ የድምጽ ምርጫ"
"Date Closed","ቀን ተዘግቷል"
"Date Posted","ቀን ተለጥፏል"
"Delete","ሰርዝ"
"Delete Answer","መልስ ሰርዝ"
"Delete Poll","የድምጽ ምርጫ ሰርዝ"
"Disallow voting in a poll multiple times from same IP-address","በአንድ የድምጽ ምርጫ ውስጥ ከተመሳሳይ የአይፒ አድራሻ ብዙ ድምጾችን መስጠትን አትፍቀድ።  "
"Edit Answer '%s'","መልስ «%s» አርትእ "
"Edit Poll '%s'","የድምጽ ምርጫ «%s» አርትእ "
"Edit Poll Answer","የድምጽ ምርጫ መልስ አርትእ"
"ID","መታወቂያ"
"Invalid Answer","ልክ ያልሆነ መልስ "
"New Poll","አዲስ የድምጽ ምርጫ"
"Number of Responses","የምላሾች ብዛት"
"Open","ክፈት"
"Poll Answers","የድምጽ ምርጫ መልሶች"
"Poll Information","የድምጽ ምርጫ መረጃ"
"Poll Manager","የድምጽ ምርጫ አቀናባሪ"
"Poll Question","የድምጽ ምርጫ ጥያቄ"
"Poll information","የድምጽ ምርጫ መረጃ"
"Poll not exists","የድምጽ ምርጫ የለም"
"Poll with the same question","ተመሳሳይ ጥያቄ ያለው የድምጽ ምርጫ"
"Save Answer","መልስ አስቀምጥ"
"Save Poll","የድምጽ ምርጫ አስቀምጥ"
"Status","ሁኔታ"
"Unable to find answer to delete.","የሚሰረዘውን መልስ ለማግኘት አልተቻለም።"
"Visible In","የሚታየው"
"Vote","ድምጽ ስጥ"
"Votes Count","የተሰጡ ድምጾች ብዛት"
"Votes Count:","የተሰጡ ድምጾች ብዛት፦"
