"-- Please select --","-- እባክዎ ይምረጡ --"
"Allowed currencies","የተፈቀዱ ምንዛሪዎች"
"Base currency","መነሻ ምንዛሪ"
"Cannot retrieve rate from %s","ከ%s ተመን ማውጣት አልተቻለም"
"Connection timeout in seconds","ግንኙነቱ በሰኮንዶች ውስጥ ይቋረጣል"
"Continue &raquo;","ቀጥል &raquo;"
"Country","አገር"
"Country Api","የአገር Api"
"Country and Format Type combination should be unique","አገር እና የቅርጸት አይነት ውህደት ልዩ ሊሆን ይገባል"
"Currency","ምንዛሪ"
"Currency Options","የምንዛሪ አማራጮች"
"Currency Setup","የምንዛሪ ቅንብር"
"Currency Update Warnings","ምንዛሪ የማዘመን ማስጠንቀቂያዎች"
"Currency will be used for all online payment transactions","ለሁሉም የክፍያ ገንዘብ ዝውውሮች ምንዛሪ ጥቅም ላይ ይውላል"
"Default display currency","ነባሪ የምንዛሪ ማሳያ"
"Directory","ማውጫ"
"Enabled","ነቅቷል"
"Error Email Recipient","የኢሜይል ተቀባይ ስህተት"
"Error Email Sender","የኢሜይል ላኪ ስህተት"
"Error Email Template","የኢሜይል አብነት ስህተት"
"FATAL ERROR:","ከባድ ስህተት፦"
"Frequency","ድግግሞሽ"
"Installed Currencies","የተጫኑ ምንዛሪዎች"
"Invalid Import Service Specified","ልክ ያልሆነ ከውጪ የማስመጫ አገልግሎት ተጠቅሷል"
"Invalid country code: %s","ልክ ያልሆነ የአገር ኮድ፦ %s"
"Invalid rates received","ልክ ያልሆኑ ተመኖች ደርሰዋል"
"Invalid target currency","ልክ ያልሆነ የታለመ ምንዛሪ"
"List of countries","የአገሮች ዝርዝር"
"List of regions in specified country","በተመለከተው አገር ውስጥ ያሉ የክልሎች ዝርዝር"
"Region","ክልል"
"Region Api","የክልል Api"
"Remove space from currency sign","ከምንዛሪ ምልክት ባዶ ቦታን አስወግድ"
"Scheduled Import Settings","መርሃ ግብር የተያዘላቸው ከውጪ የማስመጫ ቅንብሮች"
"Select Your Currency","የእርስዎን ምንዛሪ ይምረጡ"
"Service","አገልግሎት"
"Start Time","የሚጀምርበት ሰዓት"
"State/Province","ክልል/ዞን"
"Strikeiron Email Update Warnings","የStrikeiron የኢሜይል ማዘመኛ ማስጠንቀቂያ "
"Unable to initialize import model","ከውጪ የማስመጫ ሞዴል ማስጀመር አልተቻለም"
"Undefined rate from ""%s-%s""","ያልተወሰነ ተመን ከ«%s-%s»"
"WARNING:","ማስጠንቀቂያ፦"
"Webservicex","Webservicex"
"Your current currency is: %s","የአሁኑ ምንዛሪዎ፦ %s"
