"Action","ተግባር"
"All types","ሁሉም አይነቶች"
"Backup file ""%s"" can't read or write","ምትኬ ፋይል «%s» መጻፍ ሆነ ማንበብ አይችልም"
"Backup file ""%s"" doesn't exist","ምትኬ ፋይል «%s» የለም"
"Backup file doesn't exist","ምትኬ ፋይል የለም"
"Backup file handler don't specify","የምትኬ ፋይል አስተናጋጅ አልተጠቀሰም"
"Backup file path don't specify","የምትኬ ፋይል ዱካ አልተጠቀሰም"
"Backups","ምትኬዎች"
"Cannot read backup file","ምትኬ ፋይል ማንበብ አልተቻለም"
"Create Backup","ምትኬ ፍጠር"
"DB","ውጎ"
"Database was successfuly backed up.","የውሂብ ጎታ በተሳካ ሁኔታ ምትኬ ተይዞለታል።"
"Download","አውርድ"
"Error write to Backup file ""%s""","ወደ ምትኬ ፋይል «%s» የመጻፍ ስህተት"
"File compressed with Zlib, but this extension is not installed on server","ፋይሉ የታመቀው በZlib ሲሆን፣ ይህ ቅጥያ ግን በዚህ አገልጋይ ላይ አልተጫነም"
"Size, byte","መጠን፣ ባይት"
"Time","ሰዓት"
"Type","አይነት"
"Unable to create backup. Please, try again later.","ምትኬ መፍጠር አልተቻለም። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Wrong order of creation for new backup","አዲስ ምትኬ ለመፍጠር የተሳሳተ ቅደም ተከተል"
