" The customer doesn't exist in the system anymore"," ደንበኛው በዚህ ስርዓት ውስጥ ከእንግዲህ አይገኝም"
"""%s"" coupon code is not valid.","«%s» ኩፖን ኮድ ልክ ያልሆነ ነው።"
"%s / %s rate:","%s / %s ተመን፦"
"%s for %s","%s ለ %s"
"%s order(s) successfully canceled","%s ትእዛዝ(ዞች) በተሳካ ሁኔታ ተሰርዟል (ዘዋል)"
"%s order(s) successfully put on hold","%s ትእዛዝ(ዞች) በተሳካ ሁኔታ እንዲዘገይ(ዩ) ተደርጓል(ገዋል)"
"%s order(s) successfully released from holding status","%s ትእዛዝ(ዞች) ከተያዘበት(ዙበት) ሁኔታ በተሳካ ሁኔታ ተለቋል(ቀዋል)"
"* - Enter custom price excluding tax","* - ብጁ ዋጋ ቀረጥን ሳይጨምር አስገባ"
"* - Enter custom price including tax","* - ብጁ ዋጋ ቀረጥን ጨምሮ አስገባ"
"About This Order:","ስለዚህ ትእዛዝ፦"
"About Your Order","ስለ ትእዛዝዎ፦"
"Account Information","የመለያ መረጃ"
"Action","ተግባር"
"Actions","ተግባራት"
"Add","አክል"
"Add Gift Messsage","የስጦታ መልዕክት አክል"
"Add New Address","አዲስ አድራሻ አክል"
"Add Order Comments","የትእዛዝ አስተያየቶች አክል"
"Add Products","ምርቶች አክል"
"Add Selected Product(s) to Option","የተመረጠ(ጡ) ምርት(ቶች)ን ወደ አማራጭ አክል"
"Add Selected Product(s) to Order","የተመረጠ(ጡ) ምርት(ቶች)ን ወደ ትእዛዝ አክል"
"Add To Order","ወደ ትእዛዝ አክል"
"Add Tracking Number","የመከታተያ ቁጥር አክል"
"Add a gift message for <strong>each gift item</strong>","ለ<strong>እያንዳንዱ የስጦታ ንጥል</strong> የስጦታ መልዕክቶች አክል"
"Add a gift message for the <strong>entire order</strong>","ለ<strong>ጠቅላላው ትእዛዝ</strong> የስጦታ መልዕክቶች አክል"
"Add comment to order","አስተያየት ወደ ትእዛዝ አክል"
"Add new comment to shipment","ለማጓጓዣ አዲስ አስተያየት አክል"
"Add new tracking number","አዲስ የመከታተያ ቁጥር አክል"
"Add to Cart","ወደ ጋሪ አክል"
"Address","አድራሻ"
"Adjustment Fee","የማስተካከያ ክፍያ"
"Adjustment Fee:","የማስተካከያ ክፍያ፦"
"Adjustment Refund","የማስተካከያ ተመላሽ ገንዘብ"
"Adjustment Refund:","የማስተካከያ ተመላሽ ገንዘብ፦"
"Allow Reorder","ዳግም ትእዛዝ ፍቀድ "
