"%s is not supported currency.","%s የሚደገፍ ምንዛሪ አይደለም።"
"Accept","ተቀበል"
"Basic","መሰረታዊ"
"Cannot retreive rate from strikeirion.","ከstrikeirion ተመን ማውጣት አልተቻለም።"
"Cannot retrieve rate from %s to %s","ከ%s እስከ %s ተመን ማውጣት አልተቻለም"
"Check all email servers","ሁሉንም የኢሜይል አገልጋዮች አርጋግጥ"
"Complete","አጠናቅ"
"Country/Region/Postal code combination","አገር/ክልል/የፖስታ ኮድ ውህድ"
"Customer Tax Class","የደንበኛ ቀረጥ መደብ"
"Email Verification","የኢሜይል ማረጋገጫ"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","የኢሜይል አድራሻው ሊረጋገጥ አልቻለም። እባክዎ እንደገና ይመልከቱትና ያስገቡት የኢሜይል አድራሻ ትክክል መሆኑን እርግጠኛ ይሁኑ።"
"Enable US address verification","የዩኤስ አድራሻ ማረጋገጫ አንቃ"
"Enable email verification","የኢሜይል ማረጋገጫ አንቃ"
"Enable foreign exchange rate","የውጩ ምንዛሪ ተመን አንቃ"
"Enable global address verification","የሁሉ አቀፍ አድራሻ ማረጋገጫ አንቃ"
"Enable sales and use tax","የሽያጭ እና የጥቅም ቀረጥ አንቃ"
"Error Email Recipient","የኢሜይል ተቀባይ ስህተት"
"Error Email Sender","የኢሜይል ላኪ ስህተት"
"Error Email Template","የኢሜይል አብነት ስህተት"
"Error address action","የአድራሻ ተግባር ስህተት"
"Foreign Exchange Rates","የውጪ ምንዛሪ ተመኖች"
"Global Address Verification","የሁሉ አቀፍ አድራሻ ማረጋገጫ"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","አይነት የተሟላ ከሆነ እና ዚፕ ኮድ ለብዙ የቀረጥ ተመኖች የተወሰነ ከሆነ፣ ዝቅተኛ የቀረጥ ተመን ወይም ከፍተኛ የቀረጥ ተመን እንዲከፈል ምረጥ።"
"Invalid email address","ልክ ያልሆነ የኢሜይል አድራሻ"
"Maximum tax rate","ከፍተኛው የቀረጥ ተመን"
"Minimum tax rate","ዝቅተኛው የቀረጥ ተመን"
"Password","የይለፍ ቃል"
"Pop up warning and accept","የብቅ ባይ ማስጠንቀቂያ እና መቀበል"
"Product Tax Class","የምርት የቀረጥ መደብ"
"Reject","አትቀበል"
"Sales and Use Tax","የሽያጭ እና የጥቅም ቀረጥ"
"Sales and Use Tax Type","የሽያጭ እና የጥቅም ቀረጥ አይነት"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron ውቅር"
"Strikeiron Section","Strikeiron ክፍል"
"Strikeiron foreign exchange rate is disabled","Strikeiron የውጪ ምንዛሪ ተመን ተሰናክሏል"
"Tax","ቀረጥ"
"There is an error in retrieving tax rate. Please contact us","የቀረጥ ተመን በማውጣት ላይ ስህተት ነበር። እባክዎ ያግኙን።"
"There is an error in verifying an email. Please contact us.","የኢሜይል በማረጋገጥ ላይት ላይ ስህተት ነበር። እባክዎ ያግኙን።"
"There is no more hits remaining for the foreign Exchange Rate Service.","ለውጪ ምንዛሪ ተመን አገልግሎት ምንም የቀሩ ምቶች የሉም።"
"There is no response back from Strikeiron server","ከStrikeiron አገልጋይ ምንም ምላሽ የለም"
"US Address Verification","የዩኤስ አድራሻ ማረጋገጫ"
"Undetermined email action","ያልተወሰነ የኢሜይል ተግባር"
"Use","ጥቅም"
"User ID","የተጠቃሚ መታወቂያ"
"Verify address in admin","አድራሻ በአስተዳዳሪ ውስጥ አረጋግጥ"
"Verify email in admin","ኢሜይል በአስተዳዳሪ ውስጥ አረጋግጥ"
