"Add New Row","አዲስ ረድፍ አክል"
"An error occurred while saving the file(s).","ፋይሉ (ሎቹ)ን በማስቀመጥ ጊዜ ስህተት ተከስቷል።"
"Availability: In stock.","ተገኚነት፦ በማከማቻ ውስጥ የሚገኝ።"
"Availability: Out of stock.","ተገኚነት፦ በማከማቻ ውስጥ የማይገኝ።"
"Back","ተመለስ"
"Can't connect to remote host, error: %s","ከሩቅ አስተናጋጅ ጋር መገናኘት አልተቻለም፣ ስህተት፦ %s"
"Canceled","ተሰርዟል"
"Date","ቀን"
"Default Link Title","ነባሪ የአገናኝ ርዕስ"
"Default Maximum Number of Downloads","ነባሪ ከፍተኛው የሚወርዱ ብዛት"
"Default Sample Title","ነባሪ የናሙና ርዕስ"
"Disable Guest Checkout if cart contains downloadable items","ጋሪ የሚወርዱ ንጥሎች የያዘ ከሆነ የእንግዳ ከፍሎ መውጫን አሰናክል"
"Downloadable Information","መውረድ የሚችል መረጃ"
"Downloadable Product","መውረድ የሚችል ምርት"
"Downloadable Product Options","መውረድ የሚችል ምርት አማራጮች"
"Downloadable product Section","መውረድ የሚችል ምርት ክፍል"
"Excl. Tax","ቀረጥ አታካት"
"File","ፋይል"
"File does not exists","ፋይሉ የለም"
"From:","ከ፦"
"Gift Message","የስጦታ መልእክት"
"Go to <a href=""%s"">My Downloadable Products</a>","ወደ <a href="%s">የእኔ መውረድ የሚችሉ ምርቶች</a> ሂድ"
"Guest checkout will only work with shareable","የእንግዳ ከፍሎ መውጫ ሊጋራ ከሚችል ጋር ብቻ ነው የሚሰራው "
"Incl. Tax","ቀረጥ ያካትታል"
"Invalid download URL host","ልክ ያልሆነ የማውረጃ ዩአርኤል አስተናጋጅ"
"Invalid download URL scheme","ልክ ያልሆነ የማውረጃ ዩአርኤል አገባብ"
"Invalid download link type","ልክ ያልሆነ የማውረጃ አገናኝ አይነት"
"Invoiced","ደረሰኝ ተሰርቶለታል"
"Link has expired.","የአገናኙ የአገልግሎት ጊዜ አብቅቷል።"
"Link is not available.","አገናኙ አይገኝም።"
"Links can be purchased separately","አገናኞች ሊገዙ ይሚችሉት ለየብቻ ነው"
"Max. Downloads","ከፍተኛው የሚወርዱ መጠን"
"Message:","መልዕክት፦"
"My Downloadable Products","የእኔ መውረድ የሚችሉ ምርቶች"
"Open Links in New Window","አገናኞችን በአዲስ መስኮት ከፈት"
"Order #","ትእዛዝ #"
"Order Item Status to enable Downloads","ማውረድን ለማንቃት የንጥል ሁኔታን ይዘዙ"
"Ordered","ታዟል"
"Pending","በመጠባበቅ ላይ"
"Please log in to download your product.","እባክዎ ምርትዎን ለማውረድ በመለያ ይግቡ።"
"Please set resource file and link type","እባክዎ የንብረት ፋይል እና የአገናኝ አይነት ይወስኑ "
"Please specify product link(s).","እባክዎ የምርት አገናኙ (ኞቹ)ን ይጥቀሱ።"
"Price","ዋጋ"
"Refunded","ተመላሽ የተደረገ ገንዘብ"
"Remaining Downloads","የቀሩ ማውረዶች"
"Remove item","ንጥል አስወግድ"
"Requested link doesn't exist.","የተጠየቀው አገናኝ የለም።"
"Sample","ናሙና"
"Shareable","ሊጋራ የሚችል"
"Shipped","ተጓጉዟል"
"Sorry, the was an error getting requested content. Please contact store owner.","ይቅርታ፣ የተጠየቀውን ይዘት በማግኘት ጊዜ ስህተት ነበር። እባክዎ የሱቁን ባለቤት ያግኙት።"
"Sorry, there was an error getting requested content","ይቅርታ፣ የተጠየቀውን ይዘት በማግኘት ጊዜ ስህተት ነበር"
"Sorry, there was an error getting requested content. Please contact store owner.","ይቅርታ፣ የተጠየቀውን ይዘት በማግኘት ጊዜ ስህተት ነበር። እባክዎ የሱቁን ባለቤት ያግኙት።"
"Sort Order","ትእዛዝ ደርድር"
"Start Download","ማውረድ ጀምር"
"Status","ሁኔታ"
"Title","ርዕስ"
"To:","ለ፦"
"U","U"
"Unlimited","ያልተወሰነ"
"View Order","የትእዛዝ እይታ"
"You have not purchased any downloadable products yet.","ምንም መውረድ የሚችሉ ምርቶች ገና የለዎትም።"
"attachment","አባሪ"
"download","አውርድ"
"inline","በመስመር ውስጥ"
"sample","ናሙና"
"My Downloadable Products","የእኔ መውረድ የሚችሉ ምርቶች"
"You have not purchased any downloadable products yet.","ምንም መውረድ የሚችሉ ምርቶች ገና የለዎትም።"
