"%d Review(s)","%d ግምገማ (ዎች)"
"%s Review(s)","%s ግምገማ (ዎች)"
"(Posted on %s)","(የተለጠፈው በ%s)"
"1 star","1 ኮከብ"
"2 stars","2 ኮከቦች"
"3 stars","3 ኮከቦች"
"4 stars","4 ኮከቦች"
"5 stars","5 ኮከቦች"
"Add New Review","አዲስ ግምገማ አክል"
"Add Your Review","የእራስዎን ግምገማ ያክሉ"
"Administrator","አስተዳዳሪ"
"All Reviews","ሁሉም ግምገማዎች"
"All reviews of customer `%s`","የደንበኛ «%s» ሁሉም ግምገማዎች"
"Allow guests to write reviews","እንግዶች ግምገማዎችን እንዲጽፉ ፍቀድ"
"Are you sure you want to do this?","እርግጠኛ ነዎት ይህን ማድረግ ይፈልጋሉ?"
"Are you sure?","እርግጠኛ ነዎት?"
"Average Customer Rating","አማካይ በደንበኛ የተሰጠ ደረጃ"
"Average Customer Rating:","አማካይ በደንበኛ የተሰጠ ደረጃ፦"
"Back","ተመለስ"
"Back to Main Product Info","ወደ ዋናው ምርት መረጃ ተመለሰ"
"Back to My Reviews","ወደ እኔ ግምገማዎች ተመለስ"
"Back to Product Reviews","ወደ ምርት ግምገማዎች ተመለስ"
"Be the first to review this product","ይህን ምርት ለመገምገም የመጀመሪያው ይሁኑ"
"Created On","የተፈጠረው በ"
"Customer","ደንበኛ"
"Customer Reviews","የደንበኞች ግምገማዎች"
"Delete","ሰርዝ"
"Delete Review","ግምገማ ሰርዝ"
"Detailed Rating","ዝርዝር የደረጃ አሰጣጥ"
"Edit Review '%s'","ግምገማ አርትእ «%s»"
"Guest","እንግዳ"
"How do you rate this product?","ለዚህ ምርት እንዴት ደረጃ እንሰጣለን?"
"ID","መታወቂያ"
"Manage Ratings","የደረጃ አሰጣጦችን አቀናብር"
"My Product Reviews","የእኔ የምርት ግምገማዎች"
"My Recent Reviews","የእኔ የቅርብ ጊዜ ግምገማዎች"
"Name","ስም"
"Name In Store","በሱቅ ውስጥ ያለ ስም"
"New Review","አዲስ ግምገማ"
"Nickname","ቅድል ስም"
"Pending Reviews","በመጠባበቅ ላይ ያሉ ግምገማዎች"
"Pending reviews","በመጠባበቅ ላይ ያሉ ግምገማዎች"
"Pending reviews of customer `%s`","የደንበኛ «%s» በመጠባበቅ ላይ ያሉ ግምገማዎች"
"Please select a product","እባክዎ ምርት ይምረጡ"
"Please select one of each of the ratings above","እባክዎ ከላይ ካሉት ደረጃዎች አንዱን ይምረጡ"
"Posted By","የተለጠፈው በ"
"Price","ዋጋ"
"Product","ምርት"
"Product Name","የምርት ስም"
"Product Rating","የምርት ደረጃ"
"Product Rating:","የምርት ደረጃ፦"
"Product Review (submitted on %s):","የምርት ግምገማ (የገባው በ%s)፦"
"Product Reviews","የምርት ግምገማዎች"
"Product SKU","የምርት SKU"
"Qty","ብዛት"
"Rating:","ደረጃ፦"
"Review","ግምገማ"
"Review Details","የግምገማ ዝርዝሮች"
"Review by %s","የተገመገመው በ%s"
"Reviews and Ratings","ግምገማዎች እና ደረጃዎች"
"SKU","SKU"
"Save Review","ግምገማ አስቀምጥ"
"Status","ሁኔታ"
"Submit Review","ግምገማ አስገባ"
"Summary Rating","የማጠቃለያ ደረጃ"
"Summary of Review","የግምገማ ማጠቃለያ"
"Summary of Your Review","የግምገማዎ ማጠቃለያ"
"Summary of review","የግምገማ ማጠቃለያ	"
"Title","ርዕስ"
"Type","አይነት"
"Unable to post review. Please, try again later.","ግምገማ መላክ አልተቻለም። እባክዎ፣ ቆይተው እንደገና ይሞክሩ።"
"Update status","ሁኔታ አዘምን"
"View All Reviews","ሁሉንም ግምገማዎች አሳይ"
"View Details","ዝርዝሮች አሳይ"
"Visible In","የሚታየው"
"Websites","የድር ጣቢያዎች"
"Write Your Own Review","የራስዎን ግምገማ ይጻፉ"
"You have submitted no reviews.","ምንም ግምገማዎች አላስገቡም።"
"You're reviewing: %s","እየገመገሙ ያሉት፦ %s"
"Your Rating:","የሰጡት ደረጃ፦"
"Your Review (submitted on %s):","ግምገማዎ (የገባው በ%s)፦"
"Your review has been accepted for moderation","ግምገማዎ ለቁጥጥር ተቀባይነት አግኝቷል"
"OR","ወይም"
"My Product Reviews","የእኔ የምርት ግምገማዎች"
