"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s በተሳካ ሁኔታ ወደ ምኞት ዝርዝርዎ ታክሏል። ግዢውን ለመቀጠል <a href="%2$s">እዚህ</a> ጠቅ ያድርጉ"
"%s's Wishlist","የ%s የምኞት ዝርዝር"
"* Required Fields","* አስፈላጊ መስኮች"
"Add All to Cart","ሁሉንም ወደ ጋሪ አክል"
"Add to Cart","ወደ ጋሪ አክል"
"Add to Wishlist","ወደ የምኞት ዝርዝር አክል"
"Added On","የታከለው"
"Are You sure?","እርግጠኛ ነዎት?"
"Are you sure you want to remove this product from your wishlist?","እርግጠኛ ነዎት ይህን ምርት ከምኞት ዝርዝርዎ ማስወገድ ይፈልጋሉ?"
"Are you sure you would like to remove this item from the wishlist?","እርግጠኛ ነዎት ይህን ምርት ከምኞት ዝርዝር ማስወገድ ፈልገዋል?"
"Back","ተመለስ"
"Can't save description %s","መግለጫ %s ማስቀመጥ አልተቻለም"
"Cannot create wishlist","የምኞት ዝርዝር መፍጠር አልተቻለም"
"Cannot specify product","ምርት መለየት አልተቻለም"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","የrss ምግብ አገናኝ ወደ ምኞት ዝርዝርዎ ማከል ከፈለጉ ይህን አመልካች ሳጥን ይምረጡ።"
"Comment","አስተያየት"
"Email Sender","ኢሜይል ላኪ"
"Email Template","የኢሜይል አብነት"
"Email address can't be empty.","የኢሜይል አድራሻ ባዶ መሆን አይችልም።"
"Email addresses, separated by commas","ኢሜይል አድራሻዎች፣ በኮማዎች የተለዩ"
"Enabled","ነቅቷል"
"General Options","አጠቃላይ አማራጮች"
"Go to Wishlist","ወደ የምኞት ዝርዝር ሂድ"
"Last Added Items","በመጨረሻ የታከሉ ንጥሎች"
"Message","መልዕክት"
"My Wishlist","የእኔ የምኞት ዝርዝር"
"My Wishlist (%d item)","የእኔ የምኞት ዝርዝር (%s ንጥል)"
"My Wishlist (%d items)","የእኔ የምኞት ዝርዝር (%s ንጥሎች)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","እባከዎ ልክ የሆኑ የኢሜይል አድራሻዎች ያስገቡ፣ በኮማዎች የተለዩ። ለምሳሌ፦ johndoe@domain.com, johnsmith@domain.com።"
"Please, enter your comments...","እባክዎ፣ አስተያየቶችዎን ያስገቡ..."
"Product","ምርት"
"RSS Feed","RSS ምግብ"
"RSS link to %s's wishlist","RSS አገናኝ ወደ የ%s የምኞት ዝርዝር"
"Remove Item","ንጥል አስወግድ"
"Share Wishlist","የምኞት ዝርዝር ያጋሩ"
"Share Your Wishlist","የምኞት ዝርዝርዎን ያጋሩ"
"Share options","የማጋራት አማራጮች"
"Sharing Information","የማጋሪያ መረጃ"
"There was an error while adding item to wishlist.","ንጥል ወደ የምኞት ዝርዝር በማከል ጊዜ ስህተት ነበር።"
"There was an error while adding item to wishlist: %s","ንጥል ወደ የምኞት ዝርዝር በማከል ጊዜ ስህተት ነበር፦ %s"
"There was an error while deleting item from wishlist.","ንጥል ከምኞት ዝርዝር በማስወገድ ጊዜ ስህተት ነበር።"
"There was an error while deleting item from wishlist: %s","ንጥል ከምኞት ዝርዝር በማስወገድ ጊዜ ስህተት ነበር፦ %s"
"This product(s) is currently out of stock:","ይህ ምርት በአሁኑ ጊዜ በማከማቻ ውስጥ አይገኝም፦"
"Update Wishlist","የምኞት ዝርዝር አዘምን"
"View Product","ምርት አሳይ"
"Wishlist","የምኞት ዝርዝር"
"Wishlist Section","የምኞት ዝርዝር ክፍል"
"Wishlist Sharing","የምኞት ዝርዝር ማጋራት"
"Wishlist is empty now.","የምኞት ዝርዝር አሁን ባዶ ነው።"
"You have no items in your wishlist.","በምኞት ዝርዝርዎ ውስጥ ምንም ንጥሎች የሉዎትም።"
"You input not valid email address.","ልክ ያልሆነ የኢሜይል አድራሻ አስገብተዋል።"
"Your Wishlist was successfully shared","የምኞት ዝርዝርዎ በተሳካ ሁኔታ ተጋርቷል"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","የእኔ የምኞት ዝርዝር - <a href="%s">%d ንጥል(ሎች)</a>"
"My Wishlist","የእኔ የምኞት ዝርዝር"
"Are you sure you want to remove this product from your wishlist?","እርግጠኛ ነዎት ይህን ምርት ከምኞት ዝርዝርዎ ማስወገድ ይፈልጋሉ?"
"Please, enter your comments...","እባክዎ፣ አስተያየቶችዎን ያስገቡ..."
