" Copy"," ቅዳ"
"Action","ተግባር"
"Add New Template","አዲስ አብነት አክል"
"Add to Queue","ወደ ወረፋ አክል"
"Are you sure that you want to delete this template?","እርግጠኛ ነዎት ይህን አብነት መሰረዝ ይፈልጋሉ?"
"Are you sure that you want to strip all tags?","እርግጠኛ ነዎት የተሰጡትን መለያዎች ማንሳት ይፈልጋሉ?"
"Back","ተመለስ"
"Cancel","ይቅር"
"Cancelled","ተትቷል"
"Cannot delete subscriber","በደንበኝነት የተመዘገበን መሰረዝ አልተቻለም"
"Cannot delete template","አብነት መሰረዝ አልተቻለም"
"Cannot mark as received subscriber","እንደ ደረሰ ተመዝጋቢ ምልክት ማድረግ አልተቻለም"
"Cannot save your subscription: %s","ምዝገባዎን ማስቀመጥ አልተቻለም፦ %s"
"Confirmation Email Sender","የኢሜይል ላኪ ማረጋገጫ"
"Confirmation Email Template","የኢሜይል አብነት ማረጋገጫ"
"Confirmation request has been sent","የማረጋገጫ ጥያቄ ተልኳል"
"Convert to Plain Text","ወደ ስነጣ አልባ ጽሁፍ ቀይር"
"Create Newsletter Template","የዜና መጽሄት አብነት ፍጠር"
"Customer","ደንበኛ"
"Customer Firstname","የደንበኛ የመጀመሪያ ስም"
"Customer Lastname","የደንበኛ የአያት ስም"
"Date Added","ቀን ታክሏል"
"Date Updated","ቀን ዘምኗል"
"Delete Selected Problems","የተመረጡ ችግሮችን ሰርዝ"
"Delete Template","አብነት ሰርዝ"
"Do you really want to cancel the queue?","በርግጥ ወረፋውን መሰረዝ ይፈልጋሉ?"
"Duplicate of template code","የአብነት ኮድ ብዜት"
"Edit Newsletter","የዜና መጽሄት አርትእ"
"Edit Newsletter Template","የዜና መጽሄት አብነት አርትእ"
"Edit Queue","ወረፋ አርትእ"
"Edit Template","አብነት አርትእ"
"Email","ኢሜይል"
"Enter your email address","የኢሜይል አድራሻ ያስገቡ"
"Error Code","የስህተት ኮድ"
"Error Text","የስህተት ጽሁፍ"
"Form was filled incorrectly","ቅጽ ተሳስቶ ተሞልቷል"
"Guest","እንግዳ"
"ID","መታወቂያ"
"Invalid queue selected","ልክ ያልሆነ ወረፋ ተመርጧል"
"Invalid subscriber ID","ልክ ያልሆነ የተመዝጋቢ መታወቂያ"
"Invalid subscription ID","ልክ ያልሆነ የምዝገባ መታወቂያ"
"Invalid subscription confirmation code","ልክ ያልሆነ የምዝገባ ማረጋገጫ ኮድ"
"Message","መልዕክት"
"Need to Confirm","ማረጋገጥ ያስፈልጋል"
"New Newsletter Template","አዲስ የዜና መጽሄት አብነት"
"New Template","አዲስ አብነት"
"Newsletter","የዜና መጽሄት"
"Newsletter Message Preview","የዜና መጽሄት መልዕክት ቅድመ እይታ"
"Newsletter Problem Reports","የዜና መጽሄት ችግር ሪፖርቶች"
"Newsletter Queue","የዜና መጽሄት ወረፋ"
"Newsletter Section","የዜና መጽሄት ክፍል"
"Newsletter Sign-up","የዜና መጽሄት ምዝገባ"
"Newsletter Subscribers","የዜና መጽሄት ተመዝጋቢዎች"
"Newsletter Subscription","የዜና መጽሄት ምዝገባ"
"Newsletter Subscriptions","የዜና መጽሄት ምዝገባዎች"
"Newsletter Templates","የዜና መጽሄት አብነቶች"
"Newsletter subscription confirmation","የዜና መጽሄት ምዝገባ ማረጋገጫ"
"Newsletter subscription success","የዜና መጽሄት ምዝገባ ስኬት"
"Newsletter unsubscription success","የዜና መጽሄት ምዝገባ መውጫ ስኬት"
"No Templates Found","ምንም አብነቶች አልተገኙም"
"No problems found","ምንም ችግሮች አልተገኙም"
"No subscribers selected","ምንም ተመዝጋቢዎች ምረጥ"
"Not Sent","አልተላከም"
"Not activated","አልነቃም"
"Pause","ላፍታ አቁም"
"Paused","ላፍታ ቆሟል"
"Please enter a valid email address","እባክዎ ልክ የሆነ የኢሜይል አድራሻ ያስገቡ"
"Please enter new template name","እባክዎ አዲስ የአብነት ስም ያስገቡ"
"Please select subscriber(s)","እባክዎ ተመዝጋቢ(ዎች) ይምረጡ"
"Preview","ቅድመ እይታ"
"Preview Template","የቅድመ እይታ አብነት"
"Processed","ተካሂዷል"
"Queue Date Start","ወረፋ የሚጀምርበት ቀን"
"Queue Finish","ወረፋ የሚጨርስበት"
"Queue Information","የወረፋ መረጃ"
"Queue Newsletter","የወረፋ የዜና መጽሄት"
"Queue Start","ወረፋ የሚጀምርበት"
"Queue Subject","የወረፋ ርዕሰ ጉዳይ"
"Recipients","ተቀባዮች"
"Reset","ዳግም አስጀምር"
"Resume","ከቆመበት ቀጥል"
"Return Html Version","የHtml ስሪት መልስ"
"Save And Resume","አስቀምጥ እና ከቆመበት ቅጥል"
"Save As","አስቀምጥ እንደ"
"Save Newsletter","የዜና መጽሄት አስቀምጥ"
"Save Template","አብነት አስቀምጥ"
"Selected problem subscribers successfully unsubscribed","የተመረጡ ተመዝጋቢዎች በተሳካ ሁኔታ ከምዝገባ ዝርዝር ወጥተዋል"
"Selected problems successfully deleted","የተመረጡት ችግሮች በተሳካ ሁኔታ ተሰርዘዋል"
"Sender","ላኪ"
"Sender Email","የኢሜይል ላኪ"
"Sender Name","የላኪ ስም"
"Sending","በመላክ ላይ"
"Sending Options","የመላኪያ አማራጪች"
"Sent","ተልኳል"
"Set Return-Path","የመመለሻ-ዱካ አዘጋጅ"
"Sign me up","መዝግበኝ"
"Sign up for our newsletter:","ለዜና መጽሄታችን ይመዝገቡ፦"
"Start","ጀምር"
"Status","ሁኔታ"
"Store","ሱቅ"
"Store View","የሱቅ እይታ"
"Subject","ርዕሰ ጉዳይ"
"Subscribe","ለደንበኝነት ተመዝገብ"
"Subscribed","ተመዝግቧል"
"Subscriber","ተመዝጋቢ"
"Subscribers","ተመዝጋቢዎች"
"Subscribers From","የተመዝጋቢዎች ቅጽ"
"Subscription Options","የምዝገባ አማራጮች"
"Success Email Sender","የኢሜይል ላኪ ስኬት"
"Success Email Template","የኢሜይል አብነት ስኬት"
"Template Content","የአብነት ይዘት"
"Template Information","የአብነት መረጃ"
"Template Name","የአብነት ስም"
"Template Subject","የአብነት ርዕሰ ጉዳይ"
"Template Type","የአብነት አይነት"
"Thank you for your subscription","ስለ ምዝገባዎ እናመሰግናለን"
"The subscription was successfully saved","ምዝገባው በተሳካ ሁኔታ ተቀምጧል"
"There was a problem with the subscription","በምዝገባው ጊዜ ችግር ነበር"
"There was a problem with the subscription: %s","በምዝገባው ጊዜ ችግር ነበር፦ %s"
"There was a problem with the un-subscription.","ከምዝገባው በመውጣት ጊዜ ችግር ነበር።"
"There was an error while saving your subscription","ምዝገባዎን በማስቀመጥ ጊዜ ስህተት ነበር"
"Toggle Editor","አርታኢ ቀይር"
"Type","አይነት"
"Unsubscribe","ከደንበኝነት ምዝገባ ውጣ"
"Unsubscribe Selected","ከምዝገባ መውጣት ተመርጧል"
"Unsubscribed","ከምዝገባው ወጥቷል"
"Unsubscription Email Sender","ከምዝገባ መውጫ ኢሜይል ላኪ "
"Unsubscription Email Template","ከምዝገባ መውጫ ኢሜይል አብነት"
"View Newsletter","የዜና መጽሄት አሳይ"
"Website","የድር ጣቢያ"
"You have been successfully unsubscribed.","በተሳካ ሁኔታ ከደንበኝነት ምዝገባ ወጥተዋል።"
"Your subscription was successfully confirmed","የደንበኝነት ምዝገባዎ በተሳካ ሁኔታ ተረጋግጧል።"
"Sign up for our newsletter:","ለዜና መጽሄት ይመዝገቡ፦"
"Subscribe","ለደንበኝነት ተመዝገብ"
"Newsletter","የዜና መጽሄት"
"Sign up for our newsletter","ለዜና መጽሄታችን ይመዝገቡ"
"Newsletter Subscriptions","የዜና መጽሄት ምዝገባዎች"
