"Abandoned carts","የተተዉ ጋሪዎች"
"Action","ተግባር"
"Add to Cart","ወደ ጋሪ አክል"
"Add to Compare","ወደ ማወዳደሪያ አክል"
"Add to Wishlist","ወደ የምኞት ዝርዝር አክል"
"Applied Coupon","ኩፖን ተተግብሯል"
"Avg. approved rating","አማካይ የጸደቀ ደረጃ"
"Avg. rating","አማካይ ደረጃ"
"Bestsellers","ከፍተኛ ሻጮች"
"Bought from wishlists","ከምኞት ዝርዝሮች የተገዛ"
"CSV","CSV"
"Carrier/Method","ተጓጓዥ/ዘዴ"
"Carts","ጋሪዎች"
"Coupons","ኩፖኖች"
"Created at","የተፈጠረው"
"Customer","ደንበኛ"
"Customer Name","የደንበኛ ስም"
"Customer Tags","የደንበኛ መለያዎች"
"Customers","ደንበኞች"
"Customers Report","የደንበኞች ሪፖርት"
"Customers Reviews","የደንበኞች ግምገማዎች"
"Customers Tags","የደንበኞች መለያዎች"
"Customers by number of orders","ደንበኞች በትእዛዞች ብዛት"
"Customers by orders total","ደንበኞች በትእዛዞች ድምር"
"Customers that have wishlist: %s%","የምኞት ዝርዝር ያላቸው ደንበኞች፦ %s%"
"Day","ቀን"
"Default Recently Compared Products count","ነባሪ በቅርብ ጊዜ የተነጻጸሩ ምርቶች ቁጥር"
"Default Recently Viewed Products count","ነባሪ በቅርብ ጊዜ የታዩ ምርቶች ቁጥር"
"Detail","ዝርዝር"
"Discounts","ቅናሾች"
"Downloads","የወረዱ"
"Email","ኢሜይል"
"Excel","Excel"
"First Name","የመጀመሪያ ስም"
"Guest","እንግዳ"
"Hits","ምቶች"
"ID","መታወቂያ"
"Invalid date specified","ልክ ያልሆነ ቀን ተጠቅሷል"
"Invoiced","ደረሰኝ ተሰርቶለታል"
"Items Ordered","የታዘዙ ንጥሎች"
"Items in Cart","በጋሪ ውስጥ ያሉ ንጥሎች"
"Last Name","የአያት ስም"
"Last Review","በመጨረሻ የተገመገመው"
"Link","አገናኝ"
"Low stock","አነስተኛ ክምችት"
"Month","ወር"
"Most Viewed","በይበልጥ የታዩ "
"Most viewed","በይበልጥ የታዩ"
"Name","ስም"
"New Accounts","አዲስ መለያዎች"
"Number Added","የታከለ ብዛት"
"Number Fulfilled","የተሟላ ብዛት"
"Number Of Historical Uses","ታሪካዊ ጥቅም ላይ የዋሉ ብዛት"
"Number Of Reviews","የግምገማዎች ብዛት"
"Number Of Uses","ጥቅም ላይ የዋለበት ብዛት"
"Number Purchased","የተገዛው ብዛት"
"Number Viewed","የታየው ብዛት"
"Number of Items","የንጥሎች ብዛት"
"Number of Ivoiced Orders","ደረሰኝ የተሰራላቸው ብዛት"
"Number of New Accounts","የአዲስ መለያዎች ብዛት"
"Number of Orders","የትእዛዞች ብዛት"
"Number of Refunded Orders","ገንዘብ ተመላሽ የተደረገላቸው ትእዛዞች ብዛት"
"Number of Reviews","የግምገማዎች ብዛት"
"Number of Total Tags","የጠቅላላ መለያዎች ብዛት"
"Number of Unique Tags","የልዩ መለያዎች ብዛት"
"Number of Views","የእይታዎች ብዛት"
"Number of items bought from a wishlist: %s","ከምኞት ዝርዝር የተገዙ ንጥሎች ብዛት፦ %s"
"Number of times deleted","የተሰረዙ ንጥሎች ብዛት"
"Number of times wishlists have been shared (emailed): %s","የምኞት ዝርዝሮች የተጋሩበት ጊዜ ብዛት (ኢሜይል የተደርጉ)፦ %s"
"Number of wishlist conversions: %s","የምኞት ዝርዝር ቅየራዎች ብዛት፦ %s "
"Number of wishlist referrals: %s","የምኞት ዝርዝር ማጣቀሻዎች ብዛት፦ %s"
