"(Make sure you keep it in a safe place.)","(ደህንነቱ የተጠበቀ ቦታ ላይ ማስቀመጥዎን እርግጠኛ ይሁኑ።)"
"(Optional. Leave blank for no prefix)","(አማራጭ። ቅድመ ቅጥያ ለሌለው ባዶ ይተዉት)"
"(ver. %s)","(ስሪት %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","የማስተዳደሪያ ፓነልዎን ለመድረስ ከቤዝ ዩአርኤሉ በኋላ ተጨማሪ ዱካ ይታከላል (ለምሳሌ፦ አስተዳዳሪ፣ የጀርባ ገጽ፣ ቁጥጥር፣ ወዘተ)።"
"Admin Path","የአስተዳዳሪ ዱካ"
"After successfull installation please click the button below.","ከተሳካ መጫን በኋላ እባክዎ ከታች ያለውን አዝራር ጠቅ ያድርጉ።"
"All packages were installed successfully, click 'Ok' to continue with installation","ሁሉም ጥቅሎች በተሳካ ሁኔታ ተጭኗል፣ ጭነቱን ለመቀጠል «እሺ» የሚለውን ጠቅ ያድርጉ"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","እንዳማራጭ «በራስ የማውረድ እና ማሻሻል» ዘዴን ሊሞክሩ ይችላሉ።"
"Base URL","ቤዝ ዩአርኤል"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","ወደ ሱቅዎ ከመቀጠልዎ በፊት፣ እባክዎ የምስጠራ ቁልፍዎን በማስታወሻ ይያዙ (Magento ይህን ቁልፍ የይለፍ ቃሎችን፣ ክሬዲት ካርዶችን እና ተጨማሪ ነገሮችን ለመመስጠር ይጠቀምበታል)።"
"Check out our","የእኛን ይመልከቱ "
"Check this box only if it is not possible to automatically validate Base URL.","የቤዝ ዩአርኤልን በራስ-ሰር ማረጋገጥ ካልተቻለ ብቻ ይህን ሳጥን ይምረጡ።"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","የደህንነቱ የተጠበቀ ዩአርኤልን በራስ-ሰር ማረጋገጥ ካልተቻለ ብቻ ይህን ሳጥን ይምረጡ፣ ለምሳሌ HTTP ማረጋገጫ አስፈላጊ ከሆነ።"
"Choose this if you would like to test frontend and backend functionality.","የተጠቃሚ በይነገጽ እና የጀርባ መቆጣጠሪያ ገጽ ተግባርን ለመሞከር ከፈለጉ ይህን ይምረጡ።"
"Configuration","ውቅር"
"Confirm Password","የይለፍ ቃል ያረጋግጡ"
"Connection","ግንኙነት"
"Continue","ቀጥል"
"Continue After Manual Download","በራስዎ ካወረዱ በኋላ ይቀጥሉ"
"Continue Full Download / SVN Installation","ሙሉ ማውረድ ቀጥል / SVN ጭነት"
"Create Admin Account","የአስተዳዳሪ መለያ ፍጠር"
"Currently this is the most stable state available for Magento packages.","ይህ በአሁኑ ጊዜ ለMagento ጥቅሎች የሚገኘው በጣም ደልዳላው ሁኔታ ነው። "
"Database","የውሂብ ጎታ"
"Database Connection","የውሂብ ጎታ ግንኙነት"
"Database Name","የውሂብ ጎታ ስም"
"Database connection error","የውሂብ ጎታ ግንኙነት ስህተት"
"Database host","የውሂብ ጎታ አስተናጋጅ"
"Database server does not support InnoDB storage engine","የውሂብ ጎታ አገልጋይ InnoDB ማከማቻ ፕሮግራምን አይደግፍም "
"Database server version does not match system requirements (required: %s, actual: %s)","የውሂብ ጎታ አገልጋይ ስሪት የስርዓት መመዘኛዎች ጋር አይዛመድም (የሚያስፈልገው፦ %s፣ አሁን ያለው፦ %s)"
"Database user name","የውሂብ ጎታ የተጠቃሚ ስም"
"Database user password","የውሂብ ጎታ የተጠቃሚ የይለፍ ቃል"
"Default Currency","ነባሪ ምንዛሪ"
"Download","አውርድ"
"Download Magento Core Modules and Updates","Magento Core ሞዱሎች ማውረድ እና ማዘመኛዎች"
"Downloading and installing Magento, please wait...","Magento በማውረድ እና በመጫን ላይ፣ እባክዎ ይጠብቁ..."
"Email","ኢሜይል"
"Email Address","ኢሜይል አድራሻ"
"Enable this option only if you have SSL available.","የሚገኝ SSL ካለዎት ብቻ ይህን አማራጭ ያንቁ።"
"Encryption Key","የምስጠራ ቁልፍ"
"File system","የፋይል ስርዓት"
"First Name","የመጀመሪያ ስም"
"Full Download / SVN Installation","ሙሉ ማውረድ / SVN ጭነት"
"Get ready to experience Open-Source eCommerce Evolved.","የክፍት ምንጭ eCommerce የቀስ በቀስ እድገትን ለመሞከር ይዘጋጁ።"
"Go to Backend","ወደ የጀርባ ገጽ ሂድ"
"Go to Frontend","ወደ የተጠቃሚ በይነገጽ ሂድ"
"Having trouble installing Magento?","Magento በመጫን ላይ ችግር ገጠመዎት?"
"Help Us to Keep Magento Healthy","የMagento ጤንነትን በመጠበቅ ያግዙን"
"Host","አስተናጋጅ"
"I agree to the above terms and conditions","ከላይ ካሉት ውሎች እና ደንቦች እስማማለሁ"
"If you are a developer and would like to have the latest public updates, choose this option.","ገንቢ ከሆኑና በጣም የቅርብ ጊዜ ይፋዊ ማዘመኛዎችን ማግኘት ከፈለጉ፣ ይህን አማራጭ ይምረጡ። "
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","PHP እንደ CGI እያሄዱ ከሆነ፣ የMagento ፋይሎች ሲሰቀሉ እንደሚጠቀሙት ተጠቃሚ የPHP ሂደቶችዎ በተመሳሳዩ ተጠቃሚ ስር ሊሄድ ይችላሉ።"
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","ቀድሞ በወረደው የመጫን አዋቂ እያሄዱ ከሆነና የMagento ጭነትን ከጫኑ በዚህ ዘዴ ይቀጥሉ።"
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","የMagento አቃፊዎች ለድር ሂደት ሊጻፍባቸው የሚችሉ እንዲሆኑ የማይፈልጉ ከሆነ ወይም ማድረግ ካልቻሉ፣ በMagento ጭነት ስርወ አቃፊ የሚገኘውን PEAR ተፈጻሚን ሊጠቀሙ ይችላሉ።"
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","ሙሉ ጥቅሉን አውረደው ከነበረ ወይም Magentoን በSVN በኩል ከጫኑ፣ የጥቅሎች ጭነትን እና ማረጋገጫን ከታች ያለውን አዝራር ጠቅ በማድረግ መዝለል ይኖርብዎታል።"
