"* Required Fields","* አስፈላጊ መስኮች"
"A new password was sent","አዲስ የይለፍ ቃል ተልኳል"
"Account Dashboard","የመለያ ዳሽቦርድ"
"Account Information","የመለያ መረጃ"
"Account Sharing Options","የመለያ ማጋራት አማራጮች"
"Account information was successfully saved","የመለያ መረጃ በተሳካ ሁኔታ ተቀምጧል"
"Action","ተግባር"
"Add New Address","አዲስ አድራሻ አክል"
"Add New Customer","አዲስ ደንበኛ አክል"
"Add New Customer Group","አዲስ የደንበኛ ቡድን አክል"
"Added From","የታከለው"
"Additional Address Entries","ተጨማሪ የአድራሻ ግቤቶች"
"Address","አድራሻ"
"Address Book","የአድራሻ ደብተር"
"Address Information","የአድራሻ መረጃ"
"Addresses","አድራሻዎች"
"Admin","አስተዳዳሪ"
"All","ሁሉም"
"All Store Views","ሁሉም የሱቅ እይታዎች"
"All countries","ሁሉም አገሮች"
"Always optional","ሁልጊዜ አማራጭ"
"Amount","መጠን"
"Approved","ጸድቋል"
"Are you sure that you want to remove this item?","እርግጠኛ ነዎት ይህን ንጥል መሰረዝ ይፈልጋሉ?"
"Are you sure you want to cancel adding of this address?","እርግጠኛ ነዎት ይህን አድራሻ የማከል ሂደት መሰረዝ ይፈልጋሉ?"
"Are you sure you want to delete this address?","እርግጠኛ ነዎት ይህን አድራሻ መሰረዝ ይፈልጋሉ?"
"Are you sure?","እርግጠኛ ነዎት?"
"Array of Entity collections is expected","ሰልፍ ወይም የአካል ስብስቦች ይጠበቃሉ"
"Assign a customer group","የደንበኛ ቡድን መድብ"
"Average Sale","አማካይ ሽያጭ"
"Back","ተመለስ"
"Back to Login","ወደ መግቢያ ተመለስ"
"Bad request.","መጥፎ ጥያቄ።"
"Bill to Name","በስም ክፍያ ጠይቅ"
"Billing Information","የክፍያ አድራሻ"
"Bought From","የተገዛው ከ"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","በእኛ ሱቅ ውስጥ መለያ በመፍጠር፣ ከፍሎ በመውጫ ሂደቱ ውስጥ በፍጥነት መንቀሳቀስ፣ ብዙ የማጓጓዣ አድራሻዎችን ማስቀመጥ፣ በመለያ ውስጥ ትእዛዞችዎን ማየት እና መከታተል እና ተጨማሪ ማድረግ ይችላሉ።"
"CSV","CSV"
"Can't save address","አድራሻ ማስቀመጥ አልተቻለም"
"Can't save customer","ደንበኛ ማስቀመጥ አልተቻለም"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","የደንበኛ መለያዎችን ሁሉአቀፍ ማጋራት አይቻልም። ምክንያቱም የአንዳንድ ደንበኛ መለያዎች በብዙ የድር ጣቢያዎች ላይ  ተመሳሳይ ኢሜይሎች ያሏቸው አሉ እና ሊዋሃዱ አይችሉም።"
"Cancel","ይቅር"
"Change Account Password","የመለያ የይለፍ ቃል ለውጥ"
"Change Billing Address","የመክፈያ አድራሻ ለውጥ"
