"* Required Fields","* አስፈላጊ መስኮች"
"Add","አክል"
"Add Gift Message","የስጦታ መልዕክት አክል"
"Allow Gift Messages for Order Items","ለታዘዙ ንጥሎች የስጦታ መልዕክቶች ፍቀድ"
"Allow Gift Messages on Order Level","በታዘዙ ደረጃዎች ላይ የስጦታ መልዕክቶች ፍቀድ"
"Are you sure?","እርግጠኛ ነዎት?"
"Cancel","ይቅር"
"Check this checkbox if you want to add gift messages to your items.","የስጦታ መልዕክቶች ወደ ንጥሎችዎ ማከል ከፈለጉ ይህን የአመልካች ሳጥን ይምረጡ።"
"Check this checkbox if you want to add gift messages.","የስጦታ መልዕክቶች ማከል ከፈለጉ ይህን የአመልካች ሳጥን ይምረጡ።"
"Close","ዝጋ"
"Do you have any gift items in your order?","በትእዛዝዎ ውስጥ የስጦታ ንጥሎች አሉዎት?"
"Edit","አርትእ"
"Edit Gift Message","የስጦታ መልዕክት አርትእ"
"Enter a gift message for each item in your order.","በትእዛዝዎ ውስጥ ለእያንዳንዱ ንጥል የስጦታ መልዕክት ያስገቡ።"
"Enter a gift message for entire order.","ለመላው ትእዛዝ የስጦታ መልዕክት አስገባ።"
"Enter a gift message for this address.","ለዚህ አድራሻ የስጦታ መልዕክት አስገባ።"
"Error while saving gift message","የስጦታ መልዕክት በማስቀመጥ ላይ ስህተት"
"From","ከ"
"Gift Message","የስጦታ መልዕክት"
"Gift Messages","የስጦታ መልዕክቶች"
"Gift message has been successfully saved","የስጦታ መልዕክት በተሳካ ሁኔታ ተቀምጧል"
"Item %d of %d","ንጥል %d የ %d"
"Message","መልዕክት"
"No","አይ"
"Remove","አስወግድ"
"Save","አስቀምጥ"
"Save Gift Message","የስጦታ መልዕክት አስቀምጥ"
"To","ለ"
"Unknown entity type","ያልታወቀ አካል አይነት"
"Use config","ውቅር ተጠቀም"
"Yes","አዎ"
"You can leave a box blank if you don't wish to add a gift message for the item.","ለንጥሉ የስጦታ መልዕክት ማከል ካልፈለጉ፣ ሳጥኑን ባዶ መተው ይችላሉ።"
"You can leave a box blank if you don't wish to add a gift message for this address.","ለዚህ አድራሻ የስጦታ መልዕክት ማከል ካልፈለጉ፣ ሳጥኑን ባዶ መተው ይችላሉ።"
"You can leave a box blank if you don't wish to add a gift message for whole order.","ለሙሉ ትእዛዙ የስጦታ መልዕክት ማከል ካልፈለጉ፣ ሳጥኑን ባዶ መተው ይችላሉ።"
"Your gift message has been successfully removed","የስጦታ መልዕክትዎ በተሳካ ሁኔታ ተወግዷል"
"Your gift message has been successfully saved","የስጦታ መልዕክትዎ በተሳካ ሁኔታ ተቀምጧል"
"Your gift message successfully removed","የስጦታ መልዕክትዎ በተሳካ ሁኔታ ተወግዷል"
"Your gift message successfully saved","የስጦታ መልዕክትዎ በተሳካ ሁኔታ ተቀምጧል"
