"%s was successfully added to your shopping cart.","%s ወደ ግዢ ጋሪ በተሳካ ሁኔታ ታክሏል።"
"&laquo; Back to Billing Information","&laquo; ወደ ክፍያ መረጃ ተመለስ"
"&laquo; Back to Select Addresses","&laquo; ወደ ተመረጡ አድራሻዎች ተመለስ"
"&laquo; Back to Shopping Cart","&laquo; ወደ ግዢ ጋሪ ተመለስ"
"* Required Fields","* አስፈላጊ መስኮች"
"Add New Address","አዲስ አድራሻ አክል"
"Add New Condition","አዲስ ሁኔታ አክል"
"Add to Cart","ወደ ጋሪ አክል"
"Add to Compare","ወደ ማነጻጸሪያ አክል"
"Add to Wishlist","ወደ የምኞት ዝርዝር አክል"
"Address","አድራሻ"
"Address %s of %s","አድራሻ %s ከ %s"
"After adding a product redirect to shopping cart","የምርት ማዛወሪያ ወደ ማጓጓዣ ጋሪ ካከሉ በኋላ"
"Allow Guest Checkout","የእንግዳ መክፈያ ቦታ ፍቀድ"
"Already registered?","አስቀድመው ተመዝግበዋል?"
"An error occurred in the process of payment","ክፍያው እየተካሄደ ሳለ ስህተት ተከስቷል"
"Apply Coupon","የኩፖን ተግብር"
"Are you sure you would like to remove this item from the shopping cart?","እርግጠኛ ነዎት ይህን ንጥል ከግዢ ጋሪዎ ማስወገድ ፈልገዋል?"
"Back","ተመለስ"
"Back to Shipping Information","ወደ ማጓጓዣ መረጃ ተመለስ"
"Based on your selection, you may be interested in the following items:","በምርጫዎ መሰረት፣ የሚከተሉትን ንጥሎች ሊፈልጓቸው ይችላሉ፦"
"Billing Address","የመክፈያ አድራሻ"
"Billing Information","የክፍያ አድራሻ"
"Billing Information - %s","የክፍያ አድራሻ - %s"
"Can not add item to shopping cart","ንጥል ወደ የግዢ ጋሪ ማከል አልተቻለም"
"Can not apply coupon code.","የኩፖን ኮድ መተግብር አልተቻለም።"
"Can't open overview page","የማጠቃለያ ገጹን መክፈት አልተቻለም"
"Cancel Coupon","ኩፖን ሰርዝ"
"Cannot remove item","ንጥል ማስወገድ አልተቻለም"
"Cannot update shopping cart","የግዢ ጋሪ ማዘመን አልተቻለም"
"Card Verification Number Visual Reference","የካርድ ማረጋገጫ ቁጥር የሚታይ ማጣቀሻ"
"Cart Subtotal:","የጋሪ ንዑስ ድምር፦"
"Change","ለውጥ"
"Change Billing Address","የክፍያ አድራሻ"
"Checkbox text","የአመልካች ሳጥን ጽሁፍ"
"Checkout","ከፍለው ይውጡ"
"Checkout Conditions","ከፍሎ የመውጫ ሁኔታዎች"
"Checkout Options","ከፍሎ የመውጫ አማራጮች"
"Checkout Section","ከፍሎ የመውጫ ክፍል"
"Checkout Terms and Conditions","ከፍሎ የመውጫ ውሎች እና ደንቦች"
"Checkout as Guest","እንደ እንግዳ ከፍለህ ይውጡ"
"Checkout as a Guest or Register","እንደ እንግዳ ከፍለህ ይውጡ ወይም ይመዝገቡ"
"Checkout method","ከፍሎ የመውጫ ዘዴ"
"Checkout with Multiple Addresses","በብዙ አድራሻዎች ከፍሎ መውጣት"
"City","ከተማ"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","የትእዛዝዎን ማረጋገጫ ቅጂ <a href="%s" onclick="this.target='_blank'">ለማተም እዚህ</a> ጠቅ ያድርጉ።"
"Close","ዝጋ"
"Company","ኩባንያ"
"Condition Name","የሁኔታ ስም"
"Condition was successfully deleted","ሁኔታው በተሳካ ሁኔታ ተሰርዟል"
"Condition was successfully saved","ሁኔታው በተሳካ ሁኔታ ተቀምጧል"
"Configurable product image","ሊዋቀር የሚችል የምርት ምስል"
"Confirm Password","የይለፍ ቃል ያረጋግጡ"
"Content","ይዘት"
"Content Height","የይዘት ቁመት"
"Content Height (css)","የይዘት ቁመት (css)"
"Continue","ቀጥል"
"Continue Shopping","ጊዢ ቀጥል"
"Continue to Billing Information","ወደ ክፍያ መረጃ ቀጥል"
"Continue to Review Your Order","ትእዛዝዎን መገምገም ይቀጥሉ"
"Continue to Shipping Information","ወደ ማጓጓዣ መረጃ ቀጥል"
"Country","አገር"
"Coupon code ""%s"" is not valid.","የኩፖን ኮድ «%s» ልክ አይደለም።"
