"(eg: domain.com/identifier)","(ምሳሌ፦ domain.com/identifier)"
"Action","ተግባር"
"Add New Block","አዲስ ጥቅል አክል"
"Add New Page","አዲስ ገጽ አክል"
"All countries","ሁሉም አገሮች"
"Block Information","የጥቅል መረጃ"
"Block Title","የጥቅል ስም"
"Block was successfully deleted","ጥቅሉ በተሳካ ሁኔታ ተሰርዟል"
"Block was successfully saved","ጥቅሉ በተሳካ ሁኔታ ተቀምጧል"
"CMS","CMS"
"CMS Home Page","CMS መነሻ ገጽ"
"CMS No Route Page","CMS ፈለግ የለሽ ገጽ"
"Content","ይዘት"
"Custom Design","ብጁ ንድፍ"
"Custom Theme","ብጁ ገጽታ"
"Custom Theme From","ብጁ ገጽታ ከ"
"Custom Theme To","ብጁ ገጽታ ለ"
"Customer Tax Class Information","የደንበኛ ቀረጥ መደብ መረጃ"
"Date Created","ቀን ተፈጥሯል"
"Delete Block","ጥቅል ሰርዝ"
"Delete Page","ገጽ ሰርዝ"
"Description","መግለጫ"
"Disabled","ተሰናክሏል"
"Edit Block","ጥቅል አርትእ"
"Edit Block '%s'","ጥቅል አርትእ «%s»"
"Edit Page","ገጽ አርትእ"
"Edit Page '%s'","ገጽ አርትእ «%s»"
"Enabled","ነቅቷል"
"General Information","አጠቃላይ መረጃ"
"Go to Home Page","ወደ መነሻ ገጽ ሂድ"
"Home","መነሻ"
"Identifier","ለዪ"
"Keywords","ቁልፍ ቃላት"
"Last Modified","በመጨረሻ የተለወጠው"
"Layout","አቀማመጥ"
"Layout Update XML","አቀማመጥ XML ማዘመን"
"Manage Pages","ገጾች አቀናብር"
"Meta Data","ሜታ ውሂብ"
"Meta Description","ሜታ መግለጫ"
"Meta Keywords","ሜታ ቁልፍ ቃላት"
"New Block","አዲስ ጥቅል"
"New Page","አዲስ ገጽ"
"Page Identifier cannot consist only of numbers.","የገጽ መለያ ቁጥሮችን ብቻ መያዝ አይችልም።"
"Page Identifier for specified store already exist.","ለተመለከተው ሱቅ የገጽ መለያ አስቀድሞ አለ።"
"Page Information","የገጽ መረጃ"
"Page Status","የገጽ ሁኔታ"
"Page Title","የገጽ ርዕስ"
"Page was successfully deleted","ገጹ በተሳካ ሁኔታ ተሰርዟል"
"Page was successfully saved","ገጹ በተሳካ ሁኔታ ተቀምጧል"
"Poll Manager","የድምጽ አቀናባሪ"
"Product Tax Class Information","የምርት የቀረጥ መደብ መረጃ"
"SEF URL Identifier","SEF ዩአርኤል ለዪ"
"Save Block","ጥቅል አስቀምጥ"
"Save Page","ገጽ አስቀምጥ"
"Show breadcrumbs for CMS pages","ለCMS ገጾች breadcrumbs አሳይ"
"Static Blocks","የማይለወጡ ጥቅሎች"
"Status","ሁኔታ"
"Store View","የሱቅ እይታ"
"Such a block identifier in selected store already exist.","በተመረጠው ሱቅ ውስጥ እንደዚህ ያለ የጥቅል መለያ አስቀድሞ አለ።"
"The page you are trying to save no longer exists","ለማስቀመጥ እየሞከሩት ያሉት ገጽ ከእንግዲህ አይኖርም"
"This block no longer exists","ይህ ጥቅል ከእንግዲህ አይኖርም"
"This page no longer exists","ይህ ገጽ ከእንግዲህ አይኖርም"
"Title","ርዕስ"
"Unable to find a block to delete","የሚሰረዘውን ጥቅል ለማግኘት አልተቻለም"
"Unable to find a page to delete","የሚሰረዘውን ገጽ ለማግኘት አልተቻለም"
