"# of Use","ጥቅም ላይ የዋለበት ብዛት"
"%1$s incl tax.","%1$s ቀርጥ ያካትታል።"
"%s - %s","%s - %s"
"%s Item(s)","%s ንጥል (ሎች)"
"(Copy data from: %s)","(ውሂብ ከዚህ ገልብጥ፦ %s)"
"(Will make search for the query above return results for this search.)","(ከላይ ላለው መጠይቅ ፍለጋ ያደርጋል፣ ለዚህ ፍለጋ ውጤቶችን ያወጣል።)"
"* Required Fields","* አስፈላጊ መስኮች"
"-- Please Select --","-- እባክዎ ይምረጡ --"
"A name is required","ስም አስፈላጊ ነው"
"ALL GROUPS","ሁሉም ቡድኖች"
"AM","AM"
"Action","ተግባር"
"Add Attribute","አይነታ አክል"
"Add Design Change","የንድፍ ለውጥ አክል"
"Add Group","ቡድን አክል"
"Add Items to Cart","ንጥሎች ወደ ጋሪ አክል"
"Add New","አዲስ አክል"
"Add New Attribute","አዲስ አይነታ አክል"
"Add New Attribute Set","አዲስ የአይነታ ስብስብ አክል"
"Add New Group","አዲስ ቡድን አክል"
"Add New Images","አዲስ ምስሎች አክል"
"Add New Option","አዲስ ምርጫ አክል"
"Add New Row","አዲስ ረድፍ አክል"
"Add New Search Term","አዲስ የፍለጋ ቃል አክል"
"Add New Set","አዲስ ስብስብ አክል"
"Add Option","ምርጫ አክል"
"Add Product","ምርት አክል"
"Add Product To Websites","ምርት ወደ ድር ጣቢያዎች አክል"
"Add Root Category","ስርወ ምድብ አክል"
"Add Subcategory","ንዑስ ምድብ አክል"
"Add Tax","ቀረጥ አክል"
"Add Tier","ድርብ አክል"
"Add to Cart","ወደ ጋሪ አክል"
"Add to Compare","ወደ ማነጻጸሪያ አክል"
"Add to My Wishlist","ወደ የእኔ የምኞት ዝርዝር አክል"
"Add to Wishlist","ወደ የምኞት ዝርዝር አክል"
"Additional Information","ተጨማሪ መረጃ"
"All","ሁሉም"
"All Product Types","ሁሉም የምርት አይነቶች"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","የዚህ ስብስብ ሁሉም ምርቶች ይሰረዛሉ! እርግጠኛ ነዎት ይህን የአይነታ ስብስብ መሰረዝ ይፈልጋሉ?"
"Allow HTML-tags on Front-end","በተጠቃሚ በይነገጽ ላይ HTML-መለያዎችን ፍቃድ"
"Allowed File Extensions","የተፈቀዱ የፋይል ቅጥያዎች"
"Allowed file extensions to upload","ለመስቀል የተፈቀዱ የፋይል ቅጥያዎች"
"Amount","መጠን"
"Apply To","ለዚህ ተግብር"
"Apply To Configurable/Grouped Product","ሊዋቀር ለሚችል/የተቧደነ ምርት ተግብር"
"Approved","ጸድቋል"
"Are you sure you want to delete this category?","እርግጠኛ ነዎት ይህን ምድብ መሰረዝ ይፈልጋሉ?"
"Are you sure you would like to remove all products from your comparison?","እርግጠኛ ነዎት ሁሉንም ምርቶች ከንጽጽሮችዎ ማስወገድ ፈልገዋል?"
"Are you sure you would like to remove this item from the compare products?","እርግጠኛ ነዎት ይህን ንጥል ከንጽጽር ምርቶች ማስወገድ ፈልገዋል?"
"Are you sure?","እርግጠኛ ነዎት?"
"As low as:","እንደዚህ ያነሰ፦"
"Assign","መድብ"
"Assign product link","የምርት አገናኝ አክል"
"Assign product to category","ምርት ወደ ምድብ መድብ"
"Assigned Products","የተመደቡ ምርቶች"
"Associated Products","የተጎዳኙ ምርቶች"
"Attrib. Set Name","የአይነታ ስብስብ ስም"
"Attribute Code","የአይነታ ኮድ"
"Attribute Information","የአይነታ መረጃ"
"Attribute Label","የአይነታ መለያ ስም"
"Attribute Model","የአይነታ ሞዴል"
"Attribute Name:","የአይነታ ስም፦"
"Attribute Properties","የአይነታ ባህሪያት"
"Attribute Set","የአይነታ ስብስብ"
"Attribute group with the ""/name/"" name already exists","በ«/name/» ስም ያለ የአይነታ ቡድን አስቀድሞ አለ"
"Attribute model not defined","የአይነታ ሞዴል አልተገለጸም"
"Attribute with the same code already exists","ተመሳሳይ ኮድ ያለው አይነታ አስቀድሞ አለ"
"Attributes","አይነታዎች"
"Attrribute names can be specified per store.","የአይነታ ስሞች በሱቅ ሊለዩ ይችላሉ።"
"Autogenerate","በራስ-ሰር አመንጭ"
"Availability","ተገኚነት"
"Availability: In stock.","ተገኚነት፦ በማከማቻ ውስጥ የሚገኝ።"
"Availability: Out of stock.","ተገኚነት፦ በማከማቻ ውስጥ የማይገኝ።"
"Back","ተመለስ"
"Backend Model","የጀርባ መቆጣጠሪያ ሞዴል"
"Backend Table","የጀርባ መቆጣጠሪያ ሰንጠረዥ"
"Backend Table Title","የጀርባ መቆጣጠሪያ ሰንጠረዥ ርዕስ"
"Backorders","ተመላሽ ትእዛዞች"
"Base directory to upload image file is not specified","የምስል ፋይል ለመስቀል ቤዝ አቃፊው አልተጠቀሰም"
"Based On","በዚህ መሰረት"
"Best Value","ምርጥ እሴት"
"Block after Info Column","ጥቅል ከመረጃ አምድ በኋላ"
"Bottom/Left","ታች/ግራ"
"Bottom/Right","ታች/ቀኝ"
"Browse By","የታሰሰው በ"
"Buy %1$s for %2$s","%1$s በ %2$s ይግዙ"
"Buy %1$s for %2$s (%3$s incl. tax) each","እያንዳንዱን %1$s በ %2$s (%3$s ቀረጥ ጨምሮ) ይግዙ"
"Buy %1$s for %2$s each","እያንዳንዱን %1$s በ %2$s ይግዙ"
"Can be used only with catalog input type Dropdown","ከካታሎግ ግቤት አይነት ተቆልቋይ ጋር ብቻ ያገለግላል"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","ከካታሎግ ግቤት አይነት ተቆልቋይ፣ ብዙ ምርጫ እና ዋጋ ጋር ብቻ ያገለግላል"
"Can't create image.","ምስል መፍጠር አልተቻለም።"
