"Account login","የመለያ መግቢያ"
"Account password","የመለያ የይለፍ ቃል"
"Active","ንቁ"
"Add Attribute Mapping","የአይነታ ማጓዳኛ አክል "
"Add New Attribute","አዲስ አይነታ አክል"
"Add to Google Base","ወደ Google ቤዝ አክል"
"Are you sure?","እርግጠኛ ነዎት?"
"Attribute","አይነታ"
"Attribute Set","የአይነታ ስብስብ"
"Attribute Set and Item Type","የአይነታ ስብስብ እና የንጥል አይነት"
"Attributes","አይነታዎች"
"Attributes Set","የአይነታ ስብስቦች"
"Attributes mapping","የአይነታዎች ማጓደን"
"AuthSub","AuthSub"
"Available Products","የሚገኙ ምርቶች"
"British Pound Sterling","የእንግሊዝ ፓውንድ ስተርሊንግ"
"Cannot update Google Base Item for Store '%s'","ለሱቅ «%s» የGoogle ቤዝ ንጥል ማዘመን አልተቻለም"
"Captcha confirmation error: %s","ካፕቻ ማረጋገጫ ስህተት፦ %s"
"Captcha confirmed successfully","ካፕቻ በተሳካ ሁኔታ ተረጋግጧል"
"Clicks","ጠቅታዎች"
"ClientLogin","የተገልጋይ መግቢያ"
"Confirm","አረጋግጥ"
"Current Mapping will be reloaded. Continue?","የአሁኑ ማጓደን ዳግም ይጫናል። ይቀጥል?"
"Custom attribute, no mapping","ብጁ አይነታ፣ ማጓደን የለም"
"Default Store (%s)","ነባሪ የሱቅ (%s)"
"Delete","ሰርዝ"
"Delete Mapping","ማጓደን ሰርዝ"
"Edit Item Type","የንጥል አይነት አርትእ"
"Edit Item Type ""%s""","የንጥል አይነት አርትእ «%s»"
"Error: %s","ስህተት፦ %s"
"Euro","ዩሮ"
"Expires","ጊዜው የሚያበቃው"
"Germany","ጀርመን"
"Google Base","Google ቤዝ"
"Google Base Attribute","Google ቤዝ አይነታ"
"Google Base ID","Google ቤዝ መታወቂያ"
"Google Base Item Type","Google ቤዝ ንጥል አይነት"
"Google Base Item type","Google ቤዝ ንጥል አይነት"
"Google Base Items","Google ቤዝ ንጥሎች"
"Hide","ደብቅ"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","ልክ ያልሆነ የምርት ሞዴል ለGoogle ቤዝ ንጥል"
"Item Type was deleted","የንጥል አይነት ተሰርዟል"
"Item Types","የንጥል አይነቶች"
"Item model is not specified to delete Google Base entry","የGoogle ቤዝ ግቤት ለመሰረዝ የንጥል ሞዴል አልተጠቀሰም"
"Item type was successfully saved","የንጥል አይነት በተሳካ ሁኔታ ተቀምጧል"
"Items","ንጥሎች"
"Manage Attribute Mapping","የአይነታ ማጓደንን አቀናብር"
"Manage Attributes","አይነታዎችን አቀናብር"
"Manage Items","ንጥሎችን አቀናብር"
"New Item Type","አዲስ የንጥል አይነት"
"No","አይ"
"No items were deleted from Google Base","ከGoogle ቤዝ ምንም ንጥሎች አልተሰረዙም"
"No items were published","ምንም ንጥሎች አልታተሙም"
"No items were saved as Inactive items","ምንም ንጥሎች እንደ ቦዘኑ ንጥሎች አልተቀመጡም"
"No products were added to Google Base","ምንም ምርቶች ወደ Google ቤዝ አልታከሉም"
"Object model is not specified to save Google Base entry","Google ቤዝ ግቤትን ለማስቀመጥ የነገር ሞዴል አልተጠቀሰም"
"Page views","የገጽ እይታዎች"
"Please, select Attribute Set and Google Item Type to load attributes","እባክዎ፣ አይነታዎችን ለመጫን የአይነታ ስብስብ እና የGoogle ንጥል አይነት ይምረጡ"
"Product Name","የምርት ስም"
"Publish","አትም"
"Published","ታትሟል"
"Remove","አስወግድ"
"Save Mapping","ማጓደንን አስቀምጥ"
"Synchronize","አመሳስል"
"Target Country","የታለመ አገር"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","ይህ እርምጃ የንጥሎችን ስታትስቲክስ ያዘምናል እናም በGoogle ቤዝ ውስጥ የማይገኙ ንጥሎችን ያስወግዳል። ይቀጥል?"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","በጠቅላላው %d ንጥል(ሎች) በተሳካ ሁኔታ ተሰርዟል(ዘዋል)፤ በጠቅላላው %d ንጥል(ሎች) በተሳካ ሁኔታ ዘምኗል(ነዋል)"
"Total of %d items(s) were successfully published","በጠቅላላው %d ንጥል(ሎች) በተሳካ ሁኔታ ታትሟል(መዋል)"
"Total of %d items(s) were successfully removed from Google Base","በጠቅላላው %d ንጥል(ሎች) በተሳካ ሁኔታ ከGoogle ቤዝ ተሰርዟል(ዘዋል) "
"Total of %d items(s) were successfully saved as Inactive items","በጠቅላላው %d ንጥል(ሎች) በተሳካ ሁኔታ እንደቦዘኑ ንጥሎች ተቀምጧል(ጠዋል)"
"Total of %d product(s) were successfully added to Google Base","በጠቅላላው %d ምርት(ቶች) በተሳካ ሁኔታ ወደ Google ቤዝ ታክሏል(ለዋል) "
"US Dollar","ዩኤስ ዶላር"
"Unable to connect to Google Base. Please, check Account settings in configuration.","ከGoogle ቤዝ ጋር መገናኘት አልተቻለም። እባክዎ የመለያ ቅንብሮችዎን በውቅረት ውስጥ ያረጋግጡ።"
"United Kingdom","ዩናይትድ ኪንግደም"
"United States","ዩናይትድ ስቴትስ"
"Update Google Base item when product is updated","ምርት ሲዘምን የGoogle ቤዝ ንጥልን አዘምን "
"View Available Products","የሚገኙ ምርቶችን አሳይ"
"View Item in Google Base","ንጥል በGoogle ቤዝ  አሳይ"
"Yes","አዎ"
