"%s already exist","%s አስቀድሞ አለ"
"%s already exists","%s አስቀድሞ አለ"
"-- Please Select --","-- እባክዎ ይምረጡ --"
"Add Block Names to Hints","የጥቅል ስሞችን ወደ ጠቃሚ ምርቶች አክል"
"Add Secret Key to URLs","የሚስጥር ቁልፎችን ወደ ዩአርኤሎች አክል"
"Add Store Code to Urls","የሱቅ ኮድ ወደ ዩአርኤሎች አክል"
"Admin","አስተዳዳሪ"
"Admin Base URL","የአስተዳዳሪ ቤዝ ዩአርኤል"
"Admin User Emails","የአስተዳዳሪ የተጠቃሚ ኢሜይሎች"
"Advanced","የላቀ"
"Allow countries","አገሮችን ፍቀድ"
"Allowed IPs (comma separated)","የተፈቀደላቸው አይፒዎች (በኮማ የተለየ)"
"Are you sure?","እርግጠኛ ነዎት?"
"Back","ተመለስ"
"Backup options","የምትኬ አማራጮች"
"Base JavaScript URL","ቤዝ ጃቫስክሪፕት ዩአርኤል"
"Base Link URL","ቤዝ አገናኝ ዩአርኤል"
"Base Media URL","ቤዝ የሚዲያ ዩአርኤል"
"Base Skin URL","ቤዝ የመልክ ዩአርኤል"
"Base URL","ቤዝ ዩአርኤል"
"Before modifying the store view code please make sure that it is not used in index.php","የሱቅ እይታ ኮድን ከመቀየርዎ በፊት እባክዎ በ index.php ውስጥ ጥቅም ላይ እንዳልዋለ እርግጠኛ ይሁኑ"
"Before modifying the website code please make sure that it is not used in index.php","የድር ጣቢያ ኮድን ከመቀየርዎ በፊት እባክዎ በ index.php ውስጥ ጥቅም ላይ እንዳልዋለ እርግጠኛ ይሁኑ"
"Block with name ""%s"" already exists","«%s» ስም ያለው ጥቅል አስቀድሞ አለ"
"Blocks HTML output","የጥቅሎች HTML ውጽአት"
"Can't retrieve request object","የተጠየቀውን ነገር ፈልጎ ማውጣት አልተቻለም"
"Can't retrieve entity config: %s","የአካል ውቅር ፈልጎ ማውጣት አልተቻለም፦ %s"
"Cancel","ይቅር"
"Cannot Delete Email Template","የኢሜይል አብነት መሰረዝ አልተቻለም"
"Cannot complete this operation from non-admin area.","ይህን ክወና ከአስተዳዳሪ-ያልሆነ ቦታ ማጠናቀቅ አይቻልም።"
"Category object is required for determining product request path","የምርት ጥያቄ ዱካ ለመወሰን የምድብ ነገር ያስፈልጋል"
"Code","ኮድ"
"Collections Data","የስብስቢች ውሂብ"
"Configuration","ውቅር"
"Controller file was loaded but class does not exist","የተቆጣጣሪ ፋይል ተጭኗል ነገር ግን መደብ የለም"
"Cookie Domain","ኩኪ ጎራ"
"Cookie Lifetime","የኩኪ የቆይታ እድሜ"
"Cookie Path","የኩኪ ዱካ"
"Copyright","የቅጂ መብት"
"Countries options","የአገሮች አማራጮች"
"Create Store","ሱቅ ፍጠር"
"Create Store View","የሱቅ እይታ ፍጠር"
"Create Website","የድር ጣቢያ ፍጠር"
"Current package name","የአሁኑ የጥቅል ስም"
"Custom Design","ብጁ ንድፍ"
"Custom admin URL","ብጁ የአስተዳዳሪ ዩአርኤል"
"Custom email 1","ብጁ ኢሜይል 1"
"Custom email 2","ብጁ ኢሜይል 2"
"Customer support","የደንበኛ ድጋፍ"
"Date From","ቀን ከ"
"Date To","ቀን እስከ"
"Date/time format ""%s"" is not supported.","የቀን/ሰዓት ቅርጸት «%s» አይደገፍም።"
