"1 star","1 ኮከብ"
"2 stars","2 ኮከቦች"
"3 stars","3 ኮከቦች"
"4 stars","4 ኮከቦች"
"5 stars","5 ኮከቦች"
"Add New Rating","አዲስ ደረጃ አክል"
"Assigned Options","የተመደቡ አማራጮች"
"Be the first to review this product","ይህን ምርት ለመገምገም የመጀመሪያው ይሁኑ"
"Default Value","ነባሪ እሴት"
"Delete Rating","የተሰጠ ደረጃ ሰርዝ"
"Edit Rating","የተሰጠ ደረጃ አርትእ "
"ID","መታወቂያ"
"If you do not specify a rating title for a store, the default value will be used.","ለሱቅ የደረጃ ርዕስ ካልሰጡ፣ ነባሪውን እሴት ይይዛል።"
"Manage Ratings","ደረጃዎችን አቀናብር"
"New Rating","አዲስ ደረጃ "
"Option Label","የአማራጭ መለያ ስም"
"Option Title","የአማራጭ ርዕስ"
"Option Title:","የአማራጭ ርዕስ፦"
"Please select one of each ratings above","እባክዎ ከላይ ካሉት ደረጃዎች አንዱን ይምረጡ"
"Rating Information","የደረጃ መረጃ"
"Rating Name","የደረጃ ስም"
"Rating Options","የደረጃ አማራጮች"
"Rating Title","የደረጃ ርዕስ"
"Rating Visibility","የደረጃ ታይነት"
"Rating isn't Available","የሚሰጥ ደረጃ አይገኝም"
"Rating with the same title","ተመሳሳይ ርዕስ ያለው ደረጃ"
"Save Rating","ደረጃ አስቀምጥ"
"Visible In","የሚታየው"
