" and ","እና"
"(Absolute path or Relative to Magento install root, ex. var/export)","(ለMagento መጫኛ ስርወ አቃፊ ዋና ዱካ ወይም አንጻራዊ፣  ለምሳሌ፦ var/export)"
"(For US 2-letter state names)","(ለዩኤስ ባለ-2-ፊደል የክልል ስሞች)"
"(If left empty will be auto-generated)","(ባዶ ከተተወ በራስ-ሰር ይመነጫል)"
"(Leave empty for first spreadsheet)","(ለመጀመሪያ የቀመር ሉህ ባዶ ተው)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(የ«ሱቅ» አምድ ባዶ ከሆነ ወይም ከውጪ በሚመጣ ፋይል ውስጥ ከታጣ፣ ምርቶች ወደዚህ ሱቅ ይታከላሉ/ይዘምናሉ።)"
"(Shift-)Click or drag to change value","እሴት ለመለወጥ (Shift-)ጠቅ ያድርጉ ወይም ይጎትቱ"
"(Starting with)","(የሚጀምረው)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(«አይ» ሲሆን፣ የተጓደኑ መስኮች ብቻ ይመጣሉ። ሲጓደን፣ «መስክ1»፣ «መስክ2»፣ ወዘተ ተጠቀም)"
"(You have to increase php memory_limit before changing this value)","(ይህን እሴት ከመቀየርዎ በፊት የphp memory_limit መጨመር አለብዎት)"
"(\t for tab)","(\t ለtab)"
"- Click on any of the time parts to increase it","- ለመጨመር ከሰዓት አካሎቹ አንዱን ጠቅ ያድርጉ"
"- Hold mouse button on any of the above buttons for faster selection.","- በፍጥነት ለመምረጥ ከላይ ካሉት አዝራሮች አንዱን ትጭነው ይያዙ።"
"- Use the %s buttons to select month","- ወር ለመምረጥ %s አዝራሮችን ይጠቀሙ"
"- Use the %s, %s buttons to select year","- ዓመት ለመምረጥ %s፣ %s አዝራሮችን ይጠቀሙ"
"- or Shift-click to decrease it","- ወይም ለመቀነስ Shift-ጠቅ ያድርጉ"
"- or click and drag for faster selection.","- ወይም በፍጥነት ለመምረጥ ጠቅ አድርገው ይጎትቱ።"
"API:","API፦"
"About the calendar","ስለ ቀን መቁጠሪያ"
"Access Denied.","መዳረሻ ተከልክሏል።"
"Account Created in:","መለያ የተፈጠረው፦"
"Account Created on (%s):","መለያ በ(%s) ላይ ተፈጥሯል፦"
"Account Created on:","መለያ የተፈጠረው፦"
"Action","ተግባር"
"Actions","ተግባራት"
"Add","አክል"
"Add Contents Path","የይዘቶች ዱካ አክል"
"Add Field with URL:","መስክ ከዩአራኤል ጋር አክል፦"
"Add Maintainer","ጠባቂ አክል"
"Add New Role","አዲስ ሚና አክል"
"Add New Template","አዲስ አብነት አክል"
"Add New User","አዲስ ተጠቃሚ አክል"
"Add PHP Extension dependency","የPHP ቅጥያ ጥገኝነት አክል"
"Add Package dependency","የጥቅል ጥገኝነት አክል"
