" was not delivered nor scanned"," አልደረሰምም አልተቃኘምም"
"1 Day Freight","የ1 ቀን ጉዞ ጭነት "
"2 Day Freight","የ2 ቀን ጉዞ ጭነት"
"2Day","2ቀን"
"2nd Day Air","2ኛ ቀን አየር "
"2nd Day Air AM","2ኛ ቀን አየር AM"
"2nd Day Air AM Letter","2ኛ ቀን አየር AM ፊደል"
"2nd Day Air Letter","2ኛ ቀን አየር ፊደል"
"3 Day Freight","የ3 ቀን ጉዞ ጭነት"
"3 Day Select","የ3 ቀን ምርጫ"
"Access ID","የመዳረሻ መታወቂያ"
"Access license number","የመደራሻ ፍቃድ ቁጥር"
"Account ID","የመለያ መታወቂያ"
"Account number","የሒሳብ ቁጥር"
"Additional Protection Configuration Value","የተጨማሪ ጥበቃ ውቅረት እሴት"
"Additional Protection Enabled","ተጨማሪ ጥበቃ ነቅቷል"
"Additional Protection Min Subtotal","የተጨማሪ ጥበቃ ዝቅተኛ ንዑስ ድምር"
"Additional Protection Value","የተጨማሪ ጥበቃ እሴት"
"Additional Protection Value Rounding Method","የተጨማሪ ጥበቃ እሴት ማዞር ዘዴ"
"All Services","ሁሉም አገልግሎቶች"
"Allowed methods","የተፈቀዱ ዘዴዎች"
"Bound Printed Matter","የታተመ ነገር ማሰር"
"Business Service Center","የንግድ አገልግሎት ማዕከል"
"Calculate Handling Fee","የማሸጊያ ክፍያ አስላ"
"Canada Standard","የካናዳ ደረጃን የጠበቀ"
"Cannot retrieve shipping rates","የማጓጓዣ ተመኖችን ማውጣት አልተቻለም"
"Commercial","የንግድ"
"Configuration","ውቅር"
"Container","መያዣ"
"Customer Packaging","የደንበኛ ጥቅል ስራ"
"DHL","DHL"
"Default Package Height","ነባሪ የጥቅል ቁመት"
"Default Package Length","ነባሪ የጥቅል ርዝመት"
"Default Package Width","ነባሪ የጥቅል ወርድ"
"Delivered","ደርሷል"
"Destination type","የመዳረሻ አይነት"
"Displayed Error Message","የታየው የስህተት መልዕክት"
"Domestic Shipment Days","የሃገር ውስጥ የማጓጓዣ ቀናት"
"Drop Box","መጣያ ሳጥን"
"Dropoff","ቀንሷል"
"Empty response","ባዶ ምላሽ"
"Enable Negotiated Rates","የሚያስማሙ ተመኖችን አንቃ"
"Enabled","ነቅቷል"
"Error #%s : %s (%s)","ስህተት #%s፦ %s (%s)"
"Error #%s: %s","ስህተት #%s፦ %s"
"Europe First Priority","በአውሮፓ የመጀመሪያ ቅድሚያ የሚሰጠው"
"Express","ኤክስፕረስ"
"Express 10:30 AM","ኤክስፕረስ 10:30 AM"
"Express Mail","ኤክስፕረስ ሜይል"
"Express Saturday","ኤክስፕረስ ቅዳሜ"
"Express Saver","ኤክስፕረስ ቆጣቢ"
"FedEx","FedEx"
