"-- Please Select --","-- እባክዎ ይምረጡ --"
"Account Registration","የመለያ ምዝገባ"
"All fields of script types have to be filled.","ሁሉም የስክሪፕት አይነቶች መስኮች መሞላት አለባቸው።"
"Attributes","አይነታዎች"
"Category View Optimization","የምድብ እይታ ማመቻቸት"
"Control Script","የቁጥጥር ስክሪፕት"
"Conversion Page","የቅየራ ገጽ"
"Conversion Page URL","የቅየራ ገጽ ዩአርኤል"
"Conversion Script","የቅየራ ስክሪፕት"
"Enable","አንቃ"
"Google Optimizer Scripts","Google አመቻቺ ስክሪፕቶች"
"Google Website Optimizer","Google የድር ጣቢያ አመቻቺ"
"Install Scripts","ስክሪፕቶችን ጫን"
"Limit is 8 attributes only.","ወሰኑ 8 አይነታዎች ብቻ ነው።"
"Multi Address Checkout","የብዙ አድራሻ ከፍሎ መውጫ"
"One Page Checkout","የአንድ ገጽ ከፍሎ መውጫ"
"Order Success (Multi Address Checkout)","የትእዛዝ ስኬት (የብዙ አድራሻ ከፍሎ መውጫ)"
"Order Success (One Page Checkout)","የትእዛዝ ስኬት (የአንድ ገጽ ከፍሎ መውጫ)"
"Original Page","የመጀመሪያው ገጽ"
"Other","ሌላ"
"Page Type","የገጽ አይነት"
"Page View Optimization","የገጽ እይታ ማመቻቸት"
"Please copy and paste this value to experiment edit form","እባክዎ ይህን እሴት ወደ የሙከራ አርትኦት ቅጽ ቀድተው እና ይለጥፉ"
"Please select store view to see the URL","እባክዎ ዩአርኤሉን ለማየት የሱቅ እይታን ይምረጡ"
"Product View Optimization","የምርት እይታ ማመቻቸት"
"Scripts Install URL","የስክሪፕቶች መጫኛ ዩአርኤል"
"Shopping Cart","የግዢ ጋሪ"
"Tracking Script","የመከታተያ ስክሪፕት"
"Use Default","ነባሪውን ተጠቀም"
"Use Default Values","ነባሪ እሴቶችን ተጠቀም"
"Variant Page","የተለየ ገጽ"
