"<a href=""%s"" target=""_blank"">Link</a>","እባክዎ <a href="%s">አገናኝ</a>።"
"Access denied to destination folder ""%s""","የመዳረሻ አቃፊ «%s» መድረስ ተከልክሏል"
"Could not load file: ""%s""","ፋይል መጫን አልተቻለም፦ «%s»"
"Could not save file: %s","ፋይል ማስቀመጥ አልተቻለም፦ %s"
"Declared adapter %s not found","ተገለጸው አያያዥ %s አልተገኘም"
"Destination folder ""%s"" does not exist or not access to create","መዳረሻ አቃፊ «%s» የለም ወይም ለመፍጠር አይደረስም"
"Destination folder ""%s"" is not a directory","የመዳረሻ አቃፊ «%s» አቃፊ አይደለም"
"Destination folder ""%s"" is not a writeable","የመዳረሻ አቃፊ «%s» ሊጻፍበት የሚችል አይደለም"
"Done","ተከናውኗል"
"Dry run set, stopping execution","በደረቁ ማሄድ ተዋቅሯል፣ መስራት በማቆም ላይ"
"ETA: %s","ETA፦ %s"
"Error field mapping! Fields list for mapping is not defined","የመስክ ማጓድን ስህተት! የመስኮች ዝርዝር ለማጓደን አልተገለጹም"
"Error occured during file opening: ""%s""","ፋይል በመክፈት ላይ ስህተት ተከስቷል፦ «%s»"
"File ""%s"" don't exist","ፋይል «%s» የለም"
"Found %d rows","ረድፎች %d ተገኝተዋል"
"Less than a minute","ከአንድ ደቂቃ በታች"
"Loaded successfully: ""%s""","በተሳካ ሁኔታ ተጭነዋል፦ «%s»"
"Memory Used: %s","ጥቅም ላይ የዋለ ማሀደረ ትውስታ፦ %s"
"Method ""%s"" not defined in adapter %s","ዘዴ «%s» በአያያዥ %s ውስጥ አልተገለጸም"
"Please declare ""adapter"" and ""method"" node first","እባክዎ በመጀመሪያ «አያያዥ» እና «ዘዴ» አጽቅ ይግለጹ"
"Processed records: %s","የተካሄዱ መዝገቦች፦ %s"
"Saved successfully: ""%s"" [%d byte(s)]","በተሳካ ሁኔታ ተቀምጧል፦ «%s» [%d ባይት(ቶች)]"
"Sheet 1","ሉህ 1"
"Skip undefined row","ያልተገለጸ ረድፍ ዝለል"
"Starting %s :: %s","የሚጀምረው %s :: %s"
"Total records: %s","አጠቃላይ መዝገቦች፦ %s"
"hour","ሰዓት"
"hours","ሰዓታት"
"minute","ደቂቃ"
"minutes","ደቂቃዎች"
