"Action","ተግባር"
"Add Sitemap","የጣቢያ ካርታ አክል"
"Always","ሁልጊዜ"
"CMS Pages Options","የCMS ገጾች አማራጮች"
"Categories Options","የምድቦች አማራጮች"
"Daily","በየቀኑ"
"Edit Sitemap","የጣቢያ ካርታ አርትእ"
"Enabled","ነቅቷል"
"Error Email Recipient","የኢሜይል ተቀባይ ስህተት"
"Error Email Sender","የኢሜይል ላኪ ስህተት"
"Error Email Template","የኢሜይል አብነት ስህተት"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","ፋይል «%s» ሊቀመጥ አልቻለም። እባክዎ፣ አቃፊው «%s» በድር አገልጋዩ ሊጻፍበት የሚችል መሆኑን እርግጠኛ ይሁኑ።"
"Filename","የፋይል ስም"
"Frequency","ድግግሞሽ"
"Generate","አመንጭ"
"Generation Settings","የማመንጫ ቅንብሮች"
"Google Sitemap","Google የጣቢያ ካርታ"
"Google Sitemap Section","Google የጣቢያ ካርታ ክፍል"
"Hourly","በየሰዓቱ"
"ID","መታወቂያ"
"Last Time Generated","በመጨራሻ የመነጨው"
"Link for Google","አገናኝ ለGoogle"
"Monthly","በየወሩ"
"Never","በጭራሽ"
"New Sitemap","አዲስ የጣቢያ ካርታ"
"Path","ዱካ"
"Please create the specified folder ""%s"" before saving the sitemap.","እባክዎ የድር ካርታውን ከማስቀመጥዎ በፊት፣ የተጠቀሰውን አቃፊ «%s» ይፍጠሩ።"
"Please define correct path","እባክዎ ትክክለኛውን ዱካ ይግለጹ"
"Please make sure that ""%s"" is writable by web-server.","እባክዎ፣ «%s» በድር አገልጋዩ ሊጻፍበት የሚችል መሆኑን እርግጠኛ ይሁኑ።"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","እባክዎ በፋይል ስም ውስጥ (a-z ወይም A-Z) ያሉ ፊደላትን፣ (0-9) ያሉ ቁጥሮችን ወይም ታች ሰረዝን (_) ብቻ ይጠቀሙ። ባዶ ቦታዎች ወይም ሌሎች ቁምፊዎች አይፈቀዱም።"
"Priority","ቅድሚያ"
"Priority must be between 0 and 1","ቅድሚያ በ0 እና ቅ መካከል መሆን አለበት"
"Products Options","የምርቶች አማራጮች"
"Sitemap","የጣቢያ ካርታ"
"Sitemap ""%s"" has been successfully generated","የጣቢያ ካርታ «%s» በተሳካ ሁኔታ መንጭቷል"
"Sitemap generate Warnings","የጣቢያ ካርታ የማመንጨት ማስጠንቀቂያዎች"
"Sitemap was successfully deleted","የጣቢያ ካርታ በተሳካ ሁኔታ ተሰርዟል"
"Sitemap was successfully saved","የጣቢያ ካርታ በተሳካ ሁኔታ ተቀምጧል"
"Start Time","የሚጀምርበት ሰዓት"
"Store View","የሱቅ እይታ"
"This sitemap no longer exists","ይህ የጣቢያ ካርታ ከእንግዲህ አይኖርም"
"Unable to find a sitemap to delete","የሚሰረዝ የጣቢያ ካርታ ለማግኘት አልተቻለም"
"Unable to find a sitemap to generate","የሚመነጭ የጣቢያ ካርታ ለማግኘት አልተቻለም"
"Unable to generate a sitemap","የጣቢያ ካርታ ማመንጨት አልተቻለም"
"Valid values range from 0.0 to 1.0","ልክ የሆኑ እሴቶች ከ0.0 እስከ 1.0 ባለ ክልል ውስጥ ያሉ ናቸው"
"Weekly","በየሳምንቱ"
"Yearly","በየዓመቱ"
