"Actions","ተግባራት"
"Active","ንቁ"
"Add New Rule","አዲስ ደንብ አክል"
"Apply Rules","ደንቦችን ተግብር"
"Attribute Set","የአይነታ ስብስብ"
"Catalog","ካታሎግ"
"Catalog Price Rule","የካታሎግ ዋጋ ደንብ"
"Catalog Price Rules","የካታሎግ ዋጋ ደንቦች"
"Category","ምድብ"
"Comments History","የአስተያየቶች ታሪክ"
"Conditions","ሁኔታዎች"
"Conditions (leave blank for all products)","ሁኔታዎች (ለሁሉም ሁኔታዎች ባዶ ተው)"
"Conditions Combination","የሁኔታዎች ውህድ"
"Credit Memos","የክሬዲት ማስታወሻዎች"
"Customer Groups","የደንበኛ ቡድኖች"
"Customer is new buyer: %s","ደንበኛው አዲስ ገዢ ነው፦ %s"
"Customer registered: %s","ደንበኛ ተመዝግቧል፦ %s"
"Date Expire","ጊዜው የሚያበቃበት ቀን"
"Date From","ቀን ከ"
"Date Start","የሚጀምርበት ቀን"
"Date To","ቀን እስከ"
"Delete Rule","ደንብ ሰርዝ"
"Description","መግለጫ"
"Description: %s","መግለጫ፦ %s"
"Edit Rule","ደንብ አርትእ"
"Edit Rule '%s'","ደንብ «%s» አርትእ"
"Expire at: %s","ጊዜው የሚያበቃው፦ %s"
"From Date","ከዚህ ቀን"
"General Information","አጠቃላይ መረጃ"
"Gift Messages","የስጦታ መልእክቶች"
"ID","መታወቂያ"
"Inactive","ቦዝኗል"
"Invoices","ደረሰኞች"
"NOT LOGGED IN","አልገቡም"
"Name: %s","ስም፦ %s!"
"New Rule","አዲስ ደንብ"
"No","አይ"
"Options","አማራጮች"
"Order Credit Memos","የትእዛዝ ክሬዲት ማስታወሻዎች"
"Order Gift Messages","የስጦታ መልእክቶች እዘዝ"
"Order History","የትእዛዝ ታሪክ"
"Order Invoices","የትእዛዝ ደረሰኞች"
"Order Shipments","የትእዛዝ ማጓጓዣዎች"
"Priority","ቅድሚያ"
"Product Attribute","የምርት አይነታ"
"Promotions","የማስታወቂያ ስራዎች"
"Rule Information","የድንብ መረጃ"
"Rule Name","የደንብ ስም"
"Rule was successfully deleted","ደንብ በተሳካ ሁኔታ ተሰርዟል"
"Rule was successfully saved","ደንብ በተሳካ ሁኔታ ተቀምጧል"
"Rules were successfully applied","ደንቦች በተሳካ ሁኔታ ተተግብረዋል"
"Save Rule","ደንብ አስቀምጥ"
"Save and Apply","አስቀምጥ እና ተግብር"
"Shipments","ማጓጓዣዎች"
"Start at: %s","የሚጀምረው፦ %s"
"Status","ሁኔታ"
"Stop further rules processing","ተጨማሪ ደንቦችን ማካሄድ አቁም"
"The page you are trying to save no longer exists","ለማስቀመጥ እየሞከሩት ያሉት ገጽ ከእንግዲህ አይኖርም"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","እነዚህ ደንቦች የተለወጡ ነገር ግን ያልተተገበሩ ናቸው። እባክዎ፣ ካታሎግ ውስጥ ፋጣን ለውጥ ለመመልከት ደንቦችን ትግብር የሚለውን ጠቅ ያድርጉ።"
"This rule no longer exists","ይህ ደንብ ከእንግዲህ አይኖርም"
"To Date","እስከ ቀን"
"Unable to apply rules","ደንቦችን መተግበር አልተቻለም"
"Unable to find a page to delete","የሚሰረዘውን ገጽ ለማግኘት አልተቻለም"
"Update product's %s %s: %s","የምርቶችን %s %s አዘምን፦ %s"
"Websites","የድር ጣቢያዎች"
"Yes","አዎ"
