" for more information or email us at "," ለተጨማሪ መረጃ ወይም በዚህ ላይ ኢሜይል ይላኩልን"
"# of Items (and above)","# ንጥሎች (እና ከዛ በላይ)"
"# of Items vs. Destination","የንጥሎች ብዛት ከ መዳረሻ"
"Allow Shipping to multiple addresses","ወደ ብዙ አድራሻዎች ማጓጓዝን ፍቀድ"
"Calculate Handling Fee","የማሸጊያ ክፍያ አስላ"
"Carrier:","አጓጓዥ፦"
"City","ከተማ"
"Close Window","መስኮት ዝጋ"
"Condition","ሁኔታ"
"Country","አገር"
"Date","ቀን"
"Delivered on:","የሚደርሰው በ፦"
"Delivered to:","የሚደርሰው ለ፦"
"Description","መግለጫ"
"Displayed Error Message","የታየው የስህተት መልዕክት"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","የተባዛ ረድፍ #%s (አገር «%s»፣ ክልል «%s»፣ ዚፕ «%s» እና እሴት «%s»)"
"Enabled","ነቅቷል"
"Error:","ስህተት፦"
"Export","ወደ ውጪ ላክ"
"Fixed","ውሱን"
"Flat Rate","ዝርግ ተመን"
"Free Shipping","ነፃ ማጓጓዣ"
"Handling Fee","የማሸጊያ ክፍያ"
"Import","አስመጣ"
"Info:","መረጃ፦"
"Invalid %s ""%s"" in the Row #%s","ልክ ያልሆነ %s «%s» በረድፍ #%s ውስጥ"
"Invalid Country ""%s"" in the Row #%s","ልክ ያልሆነ አገር «%s» በረድፍ #%s ውስጥ"
"Invalid Region/State ""%s"" in the Row #%s","ልክ ያልሆነ ክልል «%s» በረድፍ #%s ውስጥ"
"Invalid Shipping Price ""%s"" in the Row #%s","ልክ ያልሆነ የማጓጓዣ ዋጋ «%s» በረድፍ #%s ውስጥ"
"Invalid Table Rate code for type %s: %s","ልክ ያልሆነ የሰንጠረዥ ተመን ኮድ ለ%s አይነት፦ %s"
"Invalid Table Rate code type: %s","ልክ ያልሆነ የሰንጠረዥ ተመን ኮድ አይነት፦ %s"
"Invalid Table Rates File Format","ልክ ያልሆነ የሰንጠረዥ ተመኖች ፋይል ቅርጸት"
"Local Time","አካባቢያዊ ሰዓት"
"Location","አካባቢ"
"Maximum qty allowed for Shipping to multiple addresses","ወደ ብዙ አድራሻዎች ለማጓጓዝ የሚፈቀደው ከፍተኛው ብዛት"
"Method name","የዘዴ አይነት"
"Minimum order amount","ዝቅተኛ የትእዛዝ መጠን"
"N/A","የለም"
"None","ምንም"
"Options","አማራጮች"
"Order Subtotal (and above)","የትእዛዝ ንዑስ ድምር  (እና ከዛ በላይ)"
"Origin","መነሻ"
"Per Order","በትእዛዝ"
"Per Package","በጥቅል"
"Percent","መቶኛ"
"Price","ዋጋ"
"Price vs. Destination","ዋጋ ከ መዳረሻ"
"Region/State","ክልል"
"Service Type:","የአገልግሎት አይነት፦"
"Ship to Specific countries","ወደ ተወሰኑ አገሮች አገሮች አጓጉዝ"
"Ship to applicable countries","ወደ ተግባራዊ የሆኑ አገሮች አጓጉዝ"
"Shipment #","የማጓጓዣ #"
"Shipped or billed on:","የተጓጓዘው ወይም የተከፈለው በ፦"
"Shipping Methods","የማጓጓዣ ዘዴዎች"
"Shipping Methods Section","የማጓጓዣ ዘዴዎች ክፍል"
"Shipping Settings","የማጓጓዣ ቅንብሮች"
"Shipping Settings Section","የማጓጓዣ ቅንብሮች ክፍል"
"Show method if not applicable","ተግባራዊ ካልሆነ ዘዴ አሳይ"
"Signed by:","የተፈረመው፦"
"Sort order","ትእዛዝ ደርድር"
"Status:","ሁኔታ፦"
"Store Pickup","የሱቅ ማንሻ"
"Table rates","የሰንጠረዥ ተመኖች"
"The shipping module is not available for selected delivery country","የማጓጓዣ ሞዱሉ ለተመረጠው ማድረሻ አገር አይገኝም"
"There is no tracking available for this shipment.","ለዚህ የሚጓጓዝ እቃ የሚገኝ መከታተያ የለም።"
"There is no tracking available.","የሚገኝ መከታተያ የለም።"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","ይህ የማጓጓዣ ዘዴ በአሁኑ ጊዜ አይገኝም። ይህን የማጓጓዣ ዘዴ በመጠቀም ማጓጓዝ ከፈለጉ፣ እባክዎ ያግኙን።"
"Title","ርዕስ"
"Track:","ተከታተል፦"
"Tracking Number:","የመከታተያ ቁጥር፦"
"Tracking information is currently not available. Please ","የመከታተያ መረጃ በአሁኑ ጊዜ አይገኝም። እባክዎ"
"Tracking information is currently unavailable.","የመከታተያ መረጃ በአሁኑ ጊዜ አይገኝም።"
"Type","አይነት"
"Weight (and above)","ክብደት (እና ከዛ በላይ)"
"Weight vs. Destination","ክብደት ከ መዳረሻ"
"Weight:","ክብደት፦"
"ZIP/Postal Code","ዚፕ/የፖስታ ኮድ"
"contact us","ያግኙን"
