"API Login ID","API መግቢያ መታወቂያ"
"Authorize Only","የተፈቀደላቸው ብቻ"
"Authorize and Capture","ፍቃድ ስጥ እና ያዝ"
"Authorize.net","Authorize.net"
"Credit Card Types","የክሬዲት ካርድ አይነቶች"
"Credit Card Verification","የክሬዲት ካርድ ማረጋገጫ"
"Debug","አርም"
"Email customer","የኢሜይል ደንበኛ"
"Enabled","ነቅቷል"
"Error in authorizing the payment","ክፍያውን በመፍቀድ ላይ ስህተት"
"Error in capturing the payment","ክፍያውን በመያዝ ላይ ስህተት"
"Error in payment gateway","የክፍያ ማግኛ ዘዴ ስህተት"
"Error in refunding the payment","ክፍያውን ተመላሽ በማድረግ ላይ ስህተት"
"Error in refunding the payment.","ክፍያውን ተመላሽ በማድረግ ላይ ስህተት።"
"Error in retrieving the transaction","የገንዘብ ዝውውሩን በማውጣት ላይ ስህተት"
"Fraud order status","የማጭበርበር ትእዛዝ ሁኔታ "
"Gateway request error: %s","Gateway ጥያቄ ስህተት፦ %s"
"Invalid amount for authorization","ልክ ያልሆነ የፈቀዳ መጠን"
"Invalid amount for authorization.","ልክ ያልሆነ የፈቀዳ መጠን።"
"Invalid transaction id","ልክ ያልሆነ የዝውውር መታወቂያ"
"Maximum Order Total","ከፍተኛው አጠቃላይ ትእዛዝ"
"Merchant Login","የነጋዴ መግቢያ"
"Merchant's email","የነጋዴ መግቢያ"
"Minimum Order Total","ዝቅተኛው አጠቃላይ ትእዛዝ"
"New order status","አዲስ የትእዛዝ ሁኔታ"
"Partner","አጋር"
"Password","የይለፍ ቃል"
"Payflow Pro","Payflow Pro"
"Payment Action","የክፍያ ተግባር"
"Payment authorization error.","የክፍያ ፈቀዳ ስህተት።"
"Payment authorization transaction has been declined.","የክፍያ ፍቃድ ዝውውር ውድቅ ተደርጓል።"
"Payment from Specific countries","ክፍያ ከተወሰኑ አገሮች"
"Payment from applicable countries","ክፍያ ተግባራዊ ከሆኑ አገሮች"
"Proxy Host","የተኪ አስተናጋጅ"
"Proxy Port","የተኪ ፖርት"
"Sort order","ትእዛዝ ደርድር"
"TENDER","ጨረታ"
"Test mode","የሙከራ ሁነታ"
"Title","ርዕስ"
"Transaction key","የገንዘብ ማዘዋወሪያ ቁልፍ"
"URL","ዩአርኤል"
"Use Proxy","ቲኪ ተጠቀም"
"User","ተጠቃሞ"
"VERBOSITY","ሃተታ"
"Voided transaction","እንዳይጸና የተደረገ ዝውውር "
