"--Please Select--","--እባክዎ ይምረጡ--"
"<label>Make Check payable to:</label> %s","<label>ቼክ ለዚህ እንዲከፈል አድርግ፦</label> %s"
"<label>Make Check payable to</label>: %s","<label>ቼክ ለዚህ እንዲከፈል አድርግ</label>፦ %s"
"Automatically invoice all items","ለሁሉም ንጥሎች በራስ-ሰር ደረሰኝ ስራ"
"Can not configuration for payment method with code: %s","የክፍያ ዘዴ ከኮድ ጋር ማዋቀር አልተቻለም፦ %s"
"Can not retrieve payment info model object.","የክፍያ መረጃ ሞዴል ነገር ፈልጎ ማውጣት አልተቻለም።"
"Can not retrieve payment method instance","የክፍያ ዘዴ አብነት ፈልጎ ማውጣት አልተቻለም"
"Can not retrieve payment method model object.","የክፍያ ዘዴ ሞዴል ነገር ፈልጎ ማውጣት አልተቻለም።"
"Card Verification Number","የካርድ ማረጋገጫ ቁጥር"
"Check / Money order","የቼክ / ገንዘብ ትእዛዝ"
"Credit Card Number","የክሬዲት ካርድ ቁጥር"
"Credit Card Number: %s","የክሬዲት ካርድ ቁጥር፦ %s"
"Credit Card Number: xxxx-%s","የክሬዲት ካርድ ቁጥር፦ xxxx-%s"
"Credit Card Type","የክሬዲት ካርድ አይነት"
"Credit Card Type: %s","የክሬዲት ካርድ አይነት፦ %s"
"Credit Card Types","የክሬዲት ካርድ አይነቶች"
"Credit Card Verification","የክሬዲት ካርድ ማረጋገጫ"
"Enabled","ነቅቷል"
"Expiration Date","ጊዜው የሚያበቃበት ቀን"
"Expiration Date: %s/%s","ጊዜው የሚያበቃበት ቀን፦ %s/%s"
"Make Check payable to","ቼክ ለዚህ እንዲከፈል አድርግ"
"Make Check payable to: %s","ቼክ ለዚህ እንዲከፈል አድርግ፦ %s"
"Maximum Order Total","ከፍተኛው አጠቃላይ ትእዛዝ"
"Minimum Order Total","ዝቅተኛው አጠቃላይ ትእዛዝ"
"Month","ወር"
"Name on Card","ካርድ ላይ ያለ ስም"
"Name on the Card: %s","ካርዱ ላይ ያለ ስም፦ %s"
"New order status","አዲስ የትእዛዝ ሁኔታ"
"Payment Methods","የክፍያ ዘዴዎች"
"Payment Methods Section","የክፍያ ዘዴዎች ክፍል"
"Payment from Specific countries","ክፍያ ከተወሰኑ አገሮች"
"Payment from applicable countries","ክፍያ ተግባራዊ ከሆኑ አገሮች"
"Purchase Order Number","የግዢ ትእዛዝ ቁጥር"
"Purchase Order Number: %s","የግዢ ትእዛዝ ቁጥር፦ %s"
"Purchase order","የግዢ ትእዛዝ"
"Saved CC","የተቀመጠ CC"
"Send Check to","ቼክ ወደዚህ ላክ"
"Send Check to:","ቼክ ወደዚህ ላክ፦"
"Sort order","ትእዛዝ ደርድር"
"Title","ርዕስ"
"What is this?","ይህ ምንድነው?"
"Year","ዓመት"
"Zero Subtotal Checkout","ዜሮ ንዑስ ድምር ከፍሎ መውጫ"
