"-- Please Select --","-- እባክዎ ይምረጡ --"
"Add New Class","አዲስ መደብ አክል"
"Add New Tax Rate","አዲስ የቀረጥ ተመን አክል"
"Add New Tax Rule","አዲስ የቀረጥ ደንብ አክል"
"Apply Discount On Prices Including Tax","ቀረጥን ያካተቱ ዋጋዎች ላይ ቅናሽ ተግብር"
"Apply Tax After Discount","ከቅናሽ በኋላ ቀረጥ ተግብር"
"Apply Tax On","ቀረጥ በዚህ ላይ ተግብር"
"Are you sure you want to do this?","እርግጠኛ ነዎት ይህን ማድረግ ይፈልጋሉ?"
"Back","ተመለስ"
"CSV","CSV"
"Calculation","ስሌት"
"Catalog prices include tax","የካታሎግ ዋጋዎች ቀረጥ ያካትታሉ"
"Class Name","የመደብ ስም"
"Code","ኮድ"
"Country","አገር"
"Country/Region/Postal code combination","አገር/ክልል/የፖስታ ኮድ ውህድ"
"County","መስተዳድር"
"Custom price if available","ብጁ ዋጋ ካለ"
"Customer Tax Class","የደንበኛ ቀረጥ መደብ"
"Customer Tax Class Information","የደንበኛ ቀረጥ መደብ መረጃ"
"Customer Tax Classes","የደንበኛ ቀረጥ መደቦች"
"Default Country","ነባሪ አገር"
"Default Post Code","ዚፕ/የፖስታ ኮድ"
"Default State","ነባሪ ክልል"
"Default Tax Origin Calculation","ነባሪ የቀረጥ መነሾ ስሌት"
"Delete Class","መደብ ሰርዝ"
"Delete Rate","ተመን ሰርዝ"
"Delete Rule","ደንብ ሰርዝ"
"Display","አሳይ"
"Display Cart/Order Prices","የጋሪ/ትእዛዝ ዋጋዎች አሳይ"
"Display Product Prices","የምርት ዋጋዎች አሳይ"
"Display Shipping Prices","የማጓጓዣ ዋጋዎች አሳይ"
"Display Zero Tax Subtotal","የዜሮ ቀረጥ ንዑስ ድምር አሳይ"
"Display full tax summary","ሙሉ የቀረጥ ማጠቃለያውን አሳይ"
"Edit Class","መደብ አርትእ"
"Edit Class '%s'","መደብ አርትእ «%s»"
"Edit Rule","ደንብ አርትእ"
"Edit Tax Rate","የቀረጥ ተመን አርትእ"
"Error while deleting this class. Please try again later.","ይህን መደብ በመሰረዝ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while deleting this rate. Incorrect rate ID","ይህን መደብ በመሰረዝ ላይ ስህተት። የተሳሳተ የተመን መታወቂያ"
"Error while deleting this rate. Please try again later.","ይህን ተመን በመሰረዝ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while deleting this tax rule. Please try again later.","ይህን የቀረጥ ደንብ በመሰረዝ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while saving this rate. Please try again later.","ይህን ተመን በማስቀመጥ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while saving this tax class. Class with the same name ","ይህን ቀረጥ በማስቀመጥ ላይ ስህተት። ተመሳሳይ ስም ያለው መደብ"
"Error while saving this tax class. Please try again later.","ይህን የቀረጥ መደብ በማስቀመጥ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while saving this tax rule. Please try again later.","ይህን የቀረጥ ደንብ በማስቀመጥ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","ይህን የቀረጥ ደንብ በማስቀመጥ ላይ ስህተት። የዚህ ምርት የቀረጥ መደብ፣ የደንበኛ የቀረጥ መደብ እና የቀረጥ ተመን ውህድ"
"Excl. Tax","ቀረጥ አታካት"
"Excl. Tax:","ቀረጥ አታካት፦"
"Excluding tax","ቀረጥ ሳያካትት"
"Export Tax Rates","ወደ ውጪ መላኪያ የቀረጥ ተመኖች"
"Ignored when 'Apply Tax After Discount' option is enabled","«ከቅናሽ በኋላ ቀረጥ ተግብር» የሚለው ምርጫ ሲነቃ ይተዋል"
"Import / Export Tax Rates","የማስመጫ/መላኪያ የቀረጥ ተመኖች"
"Import Tax Rates","የማስመጫ የቀረጥ ተመኖች"
"Inc. Tax","ቀረጥ ያካትታል"
"Incl. Tax","ቀረጥ ያካትታል"
"Incl. Tax:","ቀረጥ ያካትታል፦"
"Including and excluding tax","ቀረጥ አካቶ እና ሳያካትት"
"Including tax","ቀረጥ አካቶ"
"Incorrect rate Data","የተሳሳተ የተመን ውሂብ"
"Invalid data for tax rate calculation","ልክ ያልሆነ ውሂብ ለቀረጥ ተመን ስሌት"
"Invalid file format upload attempt","ልክ ያልሆነ የፋይል ቅርጸት የመስቀል ሙከራ"
"Invalid file upload attempt","ልክ ያልሆነ ፋይል የመስቀል ሙከራ"
"Manage Customer Tax Classes","የደንበኛ ቀረጥ መደቦች አቀናብር"
"Manage Product Tax Classes","የምርት ቀረጥ መደቦች አቀናብር"
"Manage Tax Rates","የቀረጥ ተመኖችን አቀናብር"
"Manage Tax Rules","የቀረጥ ደንቦችን አቀናብር"
"Manage Tax Zones & Rates","የቀረጥ ክልሎችን እና ተመኖችን አቀናብር"
"Name","ስም"
"New Class","አዲስ መደብ"
"New Rule","አዲስ ደንብ"
"New Tax Rate","አዲስ የቀረጥ ተመን"
"None","ምንም"
"One of the country has invalid code.","አንድኛው አገር ልክ ያልሆነ ኮድ አለው።"
"Original price only","የመጀመሪያ ዋጋ ብቻ"
"Please select Country","እባክዎ አገር ይምረጡ"
"Please select County","እባክዎ መስተዳድር ይምረጡ"
"Please select State","እባክዎ ክልል ይምረጡ"
"Priority","ቅድሚያ"
"Product Tax Class","የምርት የቀረጥ መደብ"
"Product Tax Class Information","የምርት የቀረጥ መደብ መረጃ"
"Product Tax Classes","የምርት የቀረጥ መደቦች"
"Rate","ተመን"
"Reset","ዳግም አስጀምር"
"Sales","ሽያጮች"
"Save Class","መደብ አስቀምጥ"
"Save Rate","ተመን አስቀምጥ"
"Save Rule","ደንብ አስቀምጥ"
"Shipping prices include tax","የማጓጓዣ ዋጋዎች ቀረጥን ጨምሮ"
"Sort Order","ትእዛዝ ደርድር"
"State","ክልል"
"State/Region","ክልል"
"Tax","ቀረጥ"
"Tax Based On","ቀረጥ በዚህ መሰረት"
"Tax Class for Shipping","የማጓጓዣ የቀረጥ መደብ"
"Tax Classes","የቀረጥ መደቦች"
"Tax Identifier","የቀረጥ መለያ"
"Tax Rate","የቀረጥ ተመን"
"Tax Rate Information","የቀረጥ ተመን መረጃ"
"Tax Rule Information","የቀረጥ ደንብ መረጃ"
"Tax Rules","የቀረጥ ደንቦች"
"Tax Section","የቀረጥ ክፍል"
"Tax Titles","የቀረጥ ርዕሶች "
"Tax class was successfully deleted","የቀረጥ መደብ በተሳካ ሁኔታ ተሰርዟል"
"Tax class was successfully saved","የቀረጥ መደብ በተሳካ ሁኔታ ተቀምጧል"
"Tax rate was successfully deleted","የቀረጥ ተመን በተሳካ ሁኔታ ተሰርዟል"
"Tax rate was successfully imported","የቀረጥ ተመን በተሳካ ሁኔታ ገብቷል"
"Tax rate was successfully saved","የቀረጥ ተመን በተሳካ ሁኔታ ተቀምጧል"
"Tax rates at the same priority are added, others are compounded.","ተመሳሳይ ቅድሚያ የተሰጣዎች የቀረጥ ተመኖች ታክለዋል፣ ሌሎቹ ተጣምረዋል።"
"Tax rule was successfully deleted","የቀረጥ ደንብ በተሳካ ሁኔታ ተሰርዟል"
"Tax rule was successfully saved","የቀረጥ ደንብ በተሳካ ሁኔታ ተቀምጧል"
"This class no longer exists","ይህ መደብ ከእንግዲህ አይኖርም"
"This rule no longer exists","ይህ ደንብ ከእንግዲህ አይኖርም"
"XML","XML"
