"* Required Fields","* አስፈላጊ መስኮች"
"Comment","አስተያየት"
"Contact Form","የእውቂያ ቅጽ"
"Contact Information","የእውቂያ መረጃ"
"Contact Us","ያግኙን"
"Contacts","እውቂያዎች"
"Contacts Section","የእውቂያዎች ክፍል"
"Email","ኢሜይል"
"Email Options","የኢሜይል አማራጮች"
"Email Sender","ኢሜይል ላኪ"
"Email Template","የኢሜይል አብነት"
"Enable Contact Us","ያግኙን አንቃ"
"Name","ስም"
"Send Emails To","ኢሜይሎች ወደዚህ ላክ"
"Submit","አስገባ"
"Telephone","ስልክ"
"Unable to submit your request. Please, try again later","ጥያቄዎን ማስገባት አልቻልንም። እባክዎ እንደገና ቆይተው እንደገና ይሞክሩ"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","ጥያቄዎ ገብቷል እና በተቻለን ፍጥነት ምላሽ እንሰጥዎታለን። ስላገኙን እናመሰግንዎታለን።"
"Contact Us","ያግኙን"
"Contact Information","የእውቂያ መረጃ"
"Name","ስም"
"Email","ኢሜይል"
"Telephone","ስልክ"
"Comment","አስተያየት"
"* Required Fields","* አስፈላጊ መስኮች"
