"Add Recipient","ተቀባይ አክል"
"Allow for Guests","ለእንግዶች ፍቀድ"
"Email Address","ኢሜይል አድራሻ"
"Email Address:","ኢሜይል አድራሻ፦"
"Email templates","የኢሜይል አብነቶች"
"Email to a Friend","ለጓደኛ ኢሜይል ይላኩ"
"Email:","ኢሜይል፦"
"Enabled","ነቅቷል"
"Limit Sending By","በ.. የተላከው ወሰን"
"Link to a friend was sent.","አገናኝ ለጓደኛ ተልኳል።"
"Max Products Sent in 1 Hour","በ1 ሰዓት ውስጥ የተላኩ ከፍተኛ ምርቶች"
"Max Recipients","ከፍተኛ ተቀባዮች"
"Maximum %d email addresses allowed.","ከፍተኛው የሚፈቀደው %d ኢሜይል አድራሻዎች።"
"Message:","መልዕክት፦"
"Name","ስም"
"Name:","ስም፦"
"Recipient:","ተቀባይ፦"
"Remove Email","ኢሜይል አስወግድ"
"Select email template","የኢሜይል አብነት ይምረጡ"
"Send email","ኢሜይል ላክ"
"Send product to a friend","ምርት ወደ ጓደኛ ላክ"
"Sender:","ላኪ፦"
"Some emails was not sent","የተወሰኑ ኢሜይሎች አልተላኩም"
"Some problems with data.","አንዳንድ ችግሮች በውሂብ ላይ።"
"You cannot email this product to a friend","ይህን ምርት ወደ ጓደኛ መላክ አይችሉም"
"You cannot send more than %d times in an hour","በአንድ ሰዓት ውስጥ ከ%d ጊዜ በላይ መላክ አይችሉም"
