"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","ለምሳሌ፦ <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;ተለዋጭ ስም</b> &lt;user_action&gt; «ፈጽም» ወይም «ቀጥል» ሲሆን፣ የፈጽም አዝራር ጽሁፍ ምርጫዎ መሰረት።"
"API Password","API የይለፍ ቃል"
"API Signature","API ፊርማ"
"API User Name","API የተጠቃሚ ስም"
"Amex","Amex "
"Authorization","ፍቃድ"
"Authorize and Capture","ፍቃድ ስጥ እና ያዝ"
"Billing Information","የክፍያ አድራሻ"
"Business Account","የንግድ መለያ"
"Business Name","የንግድ ስም"
"Card Verification Number","የካርድ ማረጋገጫ ቁጥር"
"Change Payment Method","የክፍያ ዘዴ ለውጥ"
"Change Shipping Address","የማጓጓዣ አድራሻ ለውጥ"
"Credit Card Number","የክሬዲት ካርድ ቁጥር"
"Credit Card Number: xxxx-%s","የክሬዲት ካርድ ቁጥር፦ xxxx-%s"
"Credit Card Type","የክሬዲት ካርድ አይነት"
"Credit Card Type: %s","የክሬዲት ካርድ አይነት፦ %s"
"Credit Card Types","የክሬዲት ካርድ አይነቶች"
"Customer returned from PayPal site.","ደንበኛ ከPayPal ጣቢያ ተመልሷል።"
"Debug Flag","የተጠቆመ አርም"
"Discover","አግኝ"
"Edit Shopping Cart","የግዢ ጋሪ አርትእ"
"Enabled","ነቅቷል"
"Error in creating an invoice","ደረሰኝ በመፍጠር ላይ ስህተት"
"Error in refunding the payment","ክፍያውን ተመላሽ በማድረግ ላይ ስህተት"
"Expiration Date","ጊዜው የሚያበቃበት ቀን"
"Expiration Date: %s/%s","ጊዜው የሚያበቃበት ቀን፦ %s/%s"
"Incl. Tax","ቀረጥ ያካትታል"
"Invalid transaction id","ልክ ያልሆነ የዝውውር መታወቂያ"
"Invoice #%s created","የደረሰኝ #%s ተፈጥሯል"
