"Actions","ተግባራት"
"Are you sure?","እርግጠኛ ነዎት?"
"Date Added","ቀን ታክሏል"
"Error while marking as read. Please try again later.","እንደተነበበ ምልክት በማድረግ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while marking. Please try again later.","ምልክት በማድረግ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Error while removing. Please try again later.","በማስወገድ ላይ ስህተት። እባክዎ ቆይተው እንደገና ይሞክሩ።"
"Last update","በመጨረሻ የዘመነው"
"Mark as Read","እንደተነበበ ምልክት አድርግ"
"Mark as read","እንደተነበበ ምልክት አድርግ"
"Message","መልዕክት"
"Message was successfully marked as read","መልዕክቱ በተሳካ ሁኔታ እንደተነበበ ምልክት ተደርጎበታል"
"Message was successfully removed","መልዕክቱ በተሳካ ሁኔታ ተወግዷል"
"Messages Inbox","የመልዕክቶች ሳጥን"
"Notifications","ማሳወቂያዎች"
"Please select messages","እባክዎ መልዕክቶች ይምረጡ"
"Read Details","ዝርዝሮቹን ያንብቡ"
"Remove","አስወግድ"
"Severity","ጥብቀት"
"Show List","ዝርዝር አሳይ"
"Show Toolbar","የመሳሪያ አሞሌ አሳይ"
"Total of %d record(s) were successfully marked as read","በጠቅላላው %d መዝገብ(ቦች) በተሳካ ሁኔታ እንደተነበ(ቡ) ምልክት ተደርጎበታል(ባቸዋል)"
"Total of %d record(s) were successfully removed","በጠቅላላው %d መዝገብ(ቦች)  በተሳካ ሁኔታ ተወግዷል(ደዋል)"
"Unable to proceed. Please, try again","ለመቀጠል አልተቻለም። እባክዎ፣ እንደገና ይሞክሩ"
"Update frequency","የማዘመኛ ፍጥነት"
"Use HTTPS to get feed","ምግብ ለማግኘት HTTPS ይጠቀሙ"
"critical","ወሳኝ"
"major","አብይ"
"minor","ንዑስ"
"notice","ማሳሰቢያ"
