"ALL","ሁሉም"
"ANY","ማንኛውም"
"Add","አክል"
"Apply","ተግብር"
"Description: %s","መግለጫ፦ %s"
"Expire at: %s","የአገልግሎት ጊዜ ማብቂያ፦ %s"
"FALSE","ሐሰት"
"If %s of these conditions are %s:","የእነዚህ ሁኔታዎች %s %s ከሆነ፦"
"Invalid discount amount.","ልክ ያልሆነ የቅናሽ መጠን።"
"MATCHING ALL","ሁሉንም የሚዛመድ"
"MATCHING ANY","ማንኛውንም የሚዛመድ"
"NOT MATCHING ALL","ሁሉንም የማይዛመድ"
"NOT MATCHING ANY","ማንኛውንም የማይዛመድ"
"Name: %s","ስም፦ %s"
"Open Chooser","መምረጫ ክፈት"
"Perform following actions","የሚከተሉትን ተግባሮች ፈጽም"
"Please choose a condition to add...","እባክዎ የሚያክሉትን ሁኔታ ይምረጡ..."
"Please choose an action to add...","እባክዎ የሚያክሉትን ተግባር ይምረጡ..."
"Remove","አስወግድ"
"Start at: %s","የሚጀምረው፦ %s"
"TRUE","እውነት"
"by","በ"
"contains","ይይዛል"
"does not contain","አይጨምርም"
"equals or greater than","እኩል ይሆናል ወይም ይበልጣል"
"equals or less than","እኩል ይሆናል ወይም ያንሳል"
"greater than","ይበልጣል"
"is","ነው"
"is not","አይደለም"
"is not one of","አንዱ አይደለም"
"is one of","አንዱ ነው"
"less than","ያንሳል"
"to","ለ"
