"%s and greater","%s እና ከዛ በላይ"
"Advanced Search","የላቀ ፍለጋ"
"All","ሁሉም"
"Applies for ""Like"" Search type only","ለ«ልክ እንደ» ፍለጋ አይነት ብቻ የሚሰራ"
"Apply Layered Navigation if search results are less than","የተደራራቢ አሰሳን ተግብር፣ የፍለጋ ውጤቶች ከዚህ በታች ከሆኑ"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","ከፍለጋ መረጃ ጠቋሚ ጋር ተያይዞ የአይነታ ቅንብር ይለወጣል። እባክዎ <a href="%s">የፍለጋ መረጃ ጠቋሚ</a> ሂደትን ያሂዱ"
"Autogenerated site map","በራስ-ሰር የመነጨ የጣቢያ ካርታ "
"Catalog Advanced Search","የካታሎግ የላቀ ፍለጋ"
"Catalog Search","የካታሎግ ፍለጋ"
"Don't see what you're looking for?","እየፈለጉ ያሉትን እየተመለከቱ አይደሉም?"
"Go","ሂድ"
"Go to Home Page","ወደ መነሻ ገጽ ሂድ"
"Grid","ፍርግርግ"
"Home","መነሻ"
"List","ዝርዝር"
"Maximum Query Length","ከፍተኛው የመጠይቅ ርዝመት"
"Maximum Query Words Count","ከፍተኛው የመጠይቅ ቃላት ብዛት"
"Maximum Search query  length is %s. Your query was cut.","ከፍተኛው የፍለጋ መጠይቅ ርዝመት %s ነው። ጥያቄዎ ተቆርጧል።"
"Minimal Query Length","አነስተኛው የመጠይቅ ርዝመት"
"Modify your search","ፍለጋዎን ይቀይሩ"
"No","አይ"
"No items were found using the following search criteria.","በሚከተለው የፍለጋ መመዘኛ ምንም አይነት ንጥሎች አልተገኙም።"
"Please enter ""0"" to enable layered navigation for any number of results","እባክዎ ለማንኛውም ቁጥር ውጤቶች የተደራራቢ አሰሳን ለማንቃት «0» ያስገቡ"
"Popular Search Terms","በጣም የታወቁ የፍለጋ ቃላት"
"Popular search terms","በጣም የታወቁ የፍለጋ ቃላት"
"Relevance","ተያያዥነት"
"Required Fields","አስፈላጊ መስኮች"
"Results","ውጤቶች"
"Search","ፈልግ"
"Search Settings","የፍለጋ ቅንብሮች"
"Search Site","የፍለጋ ጣቢያዎች"
"Search Terms","የፍለጋ ቃላት"
"Search Type","የፍለጋ አይነት"
"Search entire store here...","መላውን ሱቅ እዚህ ይፈልጉ፦"
"Search results for '%s'","የፍለጋ ውጤቶች ስለ «%s»"
"Search results for: '%s'","የፍለጋ ውጤቶች ስለ፦ «%s»"
"Subscribe to Feed","ለምግብ በደንበኝነት ይመዝገቡ"
"There are no search terms available.","ምንም የፍለጋ ቃላት አይገኙም።"
"Yes","አዎ"
"You have to specify at least one search term","ቢያንስ አንድ የፍለጋ ቃል መጥቀስ አለብዎ"
"Your search returns no results.","ፍለጋዎ ምንም ውጤቶችን አላስገኘም።"
"up to %s","እስከ %s"
"<strong>%d item(s)</strong> were found using the following search criteria","የሚከተለውን የፍለጋ መመዘኛ በመጠቀም <strong>%d ንጥል(ሎች)</strong> ተገኝተዋል።"
"Is product available for purchase with Google Checkout","ምርቱን በGoogle Checkout ለመግዛት ይገኛል"
"Advanced Search","የላቀ ፍለጋ"
"Search Terms","የፍለጋ ቃላት"
"Popular Search Terms","በጣም የታወቁ የፍለጋ ቃላት"
"There are no search terms available.","ምንም የፍለጋ ቃላት አይገኙም።"
